,,Subject1:Head_Head_End,Subject1:L_Collar_L_Humerus,,,Subject1:L_Elbow_L_Wrist,Subject1:L_Femur_L_Tibia,Subject1:L_Foot_L_Toe,Subject1:L_Humerus_L_Elbow,,Subject1:L_Tibia_L_Foot,,,Subject1:L_Wrist_L_Wrist_End,Subject1:LowerBack_Head,,,Subject1:LowerBack_L_Collar,,,Subject1:LowerBack_R_Collar,,,Subject1:R_Collar_R_Humerus,,,Subject1:R_Elbow_R_Wrist,Subject1:R_Femur_R_Tibia,Subject1:R_Foot_R_Toe,Subject1:R_Humerus_R_Elbow,,Subject1:R_Tibia_R_Foot,,,Subject1:R_Wrist_R_Wrist_End,Subject1:Root_L_Femur,,,Subject1:Root_LowerBack,,,Subject1:Root_R_Femur,,,Subject1:World_Root,,,,,,Subject1:Head_Head_End,Subject1:L_Collar_L_Humerus,,,Subject1:L_Elbow_L_Wrist,Subject1:L_Femur_L_Tibia,Subject1:L_Foot_L_Toe,Subject1:L_Humerus_L_Elbow,,Subject1:L_Tibia_L_Foot,,,Subject1:L_Wrist_L_Wrist_End,Subject1:LowerBack_Head,,,Subject1:LowerBack_L_Collar,,,Subject1:LowerBack_R_Collar,,,Subject1:R_Collar_R_Humerus,,,Subject1:R_Elbow_R_Wrist,Subject1:R_Femur_R_Tibia,Subject1:R_Foot_R_Toe,Subject1:R_Humerus_R_Elbow,,Subject1:R_Tibia_R_Foot,,,Subject1:R_Wrist_R_Wrist_End,Subject1:Root_L_Femur,,,Subject1:Root_LowerBack,,,Subject1:Root_R_Femur,,,Subject1:World_Root,,,,,,
Frame,Sub Frame,,RX,RY,RZ,R,R,,R1,R2,RX,RY,RZ,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,R,R,,R1,R2,RX,RY,RZ,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ,,RX',RY',RZ',R',R',,R1',R2',RX',RY',RZ',,RX',RY',RZ',RX',RY',RZ',RX',RY',RZ',RX',RY',RZ',R',R',,R1',R2',RX',RY',RZ',,RX',RY',RZ',RX',RY',RZ',RX',RY',RZ',RX',RY',RZ',TX',TY',TZ'
,,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,,deg/s,deg/s,deg/s,deg/s,deg/s,,deg/s,deg/s,deg/s,deg/s,deg/s,,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,,deg/s,deg/s,deg/s,deg/s,deg/s,,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s
10,0,,12.6658,21.7834,-73.7943,0,12.6726,,-27.2194,17.9357,-9.84805,3.9978,-3.99674,,0,0,0,-3.4715,-14.8721,5.22601,3.42872,33.1401,-5.02829,27.7872,-42.8301,77.9583,0,73.0224,,-27.8074,3.58192,-5.74443,-1.69935,7.68743,,1.54464,5.45846,-4.0491,6.84489,-7.78955,2.35592,-40.1615,-15.2568,-12.8644,-0.705194,-12.59,-0.305426,-30.3164,969.539,270.146,,-55.9772,85.0623,-71.2799,0,-161.626,,145.031,74.1637,209.446,61.8129,197.08,,0,0,0,0.779495,-39.6656,28.9276,14.3806,-52.4026,-63.8065,-61.9495,8.71874,-18.449,0,-32.6428,,125.991,-42.3473,-7.81707,-2.72854,-19.903,,89.5502,8.90891,53.3875,-18.3227,49.1897,102.845,53.0026,-10.7118,89.3313,-12.7807,-42.2883,-62.8147,-98.7509,655.168,179.532
11,0,,12.1889,22.9909,-74.8094,0,11.0188,,-25.7127,18.6356,-7.38504,4.46594,-2.09146,,0,0,0,-3.42874,-15.5733,5.60303,3.85014,33.542,-5.77142,27.4824,-43.7081,78.4487,0,72.2689,,-26.4735,3.1788,-5.59027,-1.44056,7.54258,,2.41952,5.68829,-3.40907,6.61154,-7.24128,3.45433,-39.3121,-15.3042,-11.7373,-0.816423,-13.0397,-0.994518,-31.6902,977.006,272.009,,-47.6837,120.748,-101.508,0,-165.381,,150.68,69.9903,246.301,46.8134,190.527,,0,0,0,4.27655,-70.1266,37.702,42.1422,40.1926,-74.3132,-30.4746,-87.799,49.0326,0,-75.3547,,133.387,-40.3119,15.4165,25.8796,-14.4858,,87.4881,22.9836,64.0033,-23.3343,54.8266,109.841,84.9375,-4.73537,112.71,-11.1228,-44.969,-68.9092,-137.383,746.685,186.297
12,0,,14.0977,5.46375,-71.6597,0,9.50206,,-26.2881,18.8311,-4.65132,4.66507,-0.809756,,0,0,0,-7.80106,0.974074,6.02011,4.17973,33.5731,-6.47869,27.2952,-44.2394,78.8748,0,71.143,,-25.1847,2.91086,-5.22441,-0.922595,7.50786,,3.19788,6.06384,-2.69928,6.34889,-6.68644,4.5291,-38.183,-15.2691,-10.4695,-0.929042,-13.4642,-1.69792,-33.37,985.147,273.878,,190.876,-1752.71,314.971,0,-151.671,,-57.5437,19.5564,273.372,19.9133,128.171,,0,0,0,-437.232,1654.74,41.708,32.959,3.1132,-70.7265,-18.7193,-53.1235,42.6156,0,-112.585,,128.885,-26.7938,36.5861,51.7962,-3.47204,,77.8365,37.5549,70.9787,-26.265,55.4837,107.478,112.905,3.51072,126.774,-11.2619,-42.4536,-70.3398,-167.979,814.146,186.923
13,0,,11.9714,24.0695,-76.6202,0,8.13694,,-22.9881,19.7733,-1.4172,4.95505,3.1152,,0,0,0,-3.95031,-15.7651,6.41042,4.34975,33.1957,-7.14231,27.1784,-44.3222,79.189,0,69.6758,,-23.9343,2.65281,-4.61848,-0.199171,7.34644,,3.80108,6.52154,-2.05344,6.07104,-6.17083,5.54387,-36.8777,-15.1391,-9.19513,-1.01304,-13.819,-2.33121,-35.0931,993.921,275.638,,-212.626,1860.57,-496.048,0,-136.512,,330.002,94.211,323.413,28.9985,392.496,,0,0,0,385.074,-1673.92,39.0311,17.0026,-37.7388,-66.362,-11.6856,-8.28741,31.4209,0,-146.719,,125.043,-25.8047,60.5922,72.3423,-16.142,,60.32,45.7704,64.5835,-27.7858,51.5611,101.477,130.529,12.9956,127.442,-8.40005,-35.4762,-63.3291,-172.308,877.392,176.063
14,0,,13.9687,4.78177,-73.0302,0,7.28768,,-23.6811,20.017,1.68695,4.59685,3.29076,,0,0,0,-8.9632,2.38259,6.8958,4.9867,33.9788,-7.87406,27.3522,-45.6807,80.2508,0,67.9158,,-22.6167,2.37118,-3.8377,0.670265,7.38774,,4.03961,7.02295,-1.29746,5.66807,-5.75852,6.46192,-35.4469,-14.9154,-7.87407,-1.03227,-14.0701,-2.92537,-37.0868,1002.89,277.183,,199.726,-1928.77,358.992,0,-84.9254,,-69.3029,24.374,310.415,-35.8201,17.5563,,0,0,0,-501.289,1814.77,48.5387,63.6949,78.3085,-73.1757,17.382,-135.851,106.176,0,-176.006,,131.759,-28.1631,78.0781,86.9436,4.12996,,23.8527,50.1407,75.5982,-40.2971,41.2308,91.8052,143.084,22.368,132.106,-1.9227,-25.111,-59.4166,-199.369,897.396,154.454
15,0,,11.854,24.3553,-77.8399,0,6.78898,,-20.3154,20.9739,4.9512,4.31464,3.42699,,0,0,0,-4.66738,-15.1537,7.20063,5.14841,33.5867,-8.41554,27.328,-45.7852,80.6701,0,65.936,,-21.3948,2.11773,-2.85316,1.65477,7.19016,,4.01968,7.2289,-0.694123,5.30501,-5.37829,7.14708,-33.9622,-14.5592,-6.73994,-1.04016,-14.2053,-3.32873,-38.8523,1012.05,278.467,,-211.475,1957.36,-480.971,0,-49.8705,,336.568,95.6862,326.425,-28.2212,13.6228,,0,0,0,429.582,-1753.63,30.4826,16.1707,-39.2101,-54.1481,-2.4213,-10.4485,41.9339,0,-197.972,,122.19,-25.3454,98.454,98.4509,-19.7575,,-1.99352,20.5948,60.334,-36.3057,38.023,68.5159,148.465,35.6242,113.413,-0.789015,-13.5201,-40.3356,-176.553,915.349,128.421
16,0,,14.5188,3.00656,-74.551,0,6.98495,,-21.0714,21.0143,8.01841,3.8705,3.44035,,0,0,0,-10.5235,4.51639,7.96654,5.55497,33.7811,-8.90856,27.4187,-46.5596,81.437,0,63.7591,,-20.1685,1.84031,-1.70666,2.71691,7.01031,,3.55462,7.37232,-0.18197,4.84389,-5.11991,7.57894,-32.4731,-14.0861,-5.78162,-0.987856,-14.209,-3.54752,-40.5109,1021.12,279.515,,266.482,-2134.88,328.899,0,19.5971,,-75.6029,4.04364,306.721,-44.4143,1.33594,,0,0,0,-585.608,1967.01,76.5914,40.6556,19.4408,-49.3018,9.07476,-77.4397,76.6887,0,-217.691,,122.623,-27.7424,114.651,106.213,-17.9855,,-46.5052,14.3416,51.2154,-46.1118,25.8388,43.1857,148.91,47.3049,95.8322,5.23033,-0.374209,-21.8793,-165.857,907.457,104.77
17,0,,12.0711,24.726,-78.7283,0,7.84093,,-17.5619,22.092,10.7171,3.31482,2.06594,,0,0,0,-5.36772,-14.7721,7.8094,5.937,34.4043,-9.30829,27.5657,-47.704,82.3579,0,61.4037,,-18.9276,1.51123,-0.370866,3.79423,6.69741,,2.81773,7.25859,0.223387,4.5667,-4.83031,7.7515,-30.8673,-13.4956,-5.01563,-1.02083,-14.0907,-3.60422,-42.0026,1029.99,280.281,,-244.766,2171.95,-417.736,0,85.5981,,350.958,107.771,269.866,-55.5674,-137.441,,0,0,0,515.574,-1928.85,-15.714,38.2038,62.3159,-39.9729,14.6933,-114.434,92.0921,0,-235.547,,124.098,-32.9081,133.579,107.733,-31.2892,,-73.6889,-11.3729,40.5357,-27.7193,28.9597,17.2558,160.58,59.0568,76.5983,-3.297,11.8272,-5.66948,-149.165,886.905,76.6396
18,0,,14.8538,2.78408,-74.7819,0,9.42632,,-18.2887,22.0322,12.9972,2.84512,1.74196,,0,0,0,-11.4744,5.36241,8.39592,6.20576,34.6687,-9.49877,27.4937,-48.568,82.9542,0,58.9162,,-17.7459,1.18357,1.14064,4.86764,6.22731,,1.68732,7.07822,0.422886,4.22807,-4.59689,7.60139,-29.2888,-12.7891,-4.51518,-1.02571,-13.8731,-3.42051,-43.2187,1038.48,280.888,,278.269,-2194.19,394.637,0,158.539,,-72.6826,-5.98154,228.011,-46.9703,-32.3978,,0,0,0,-610.668,2013.45,58.6519,26.876,26.4451,-19.0477,-7.19441,-86.406,59.6269,0,-248.743,,118.165,-32.7654,151.151,107.341,-47.0104,,-113.041,-18.0364,19.9499,-33.8625,23.3423,-15.0108,157.856,70.6424,50.0458,-0.488636,21.7685,18.3708,-121.609,849.259,60.7193
19,0,,12.5025,24.7799,-78.7726,0,11.8012,,-14.6691,23.0216,14.4275,2.07763,-1.56576,,0,0,0,-6.06532,-14.2724,7.90502,6.35891,35.1795,-9.54045,27.3636,-49.6275,83.5118,0,56.3034,,-16.5619,0.800963,2.85064,5.84972,5.58774,,0.267935,6.74461,0.519541,4.05832,-4.28298,7.18901,-27.6356,-11.9747,-4.19975,-1.10376,-13.5733,-3.07635,-44.2842,1046.4,281.204,,-235.134,2199.59,-399.069,0,237.488,,361.962,98.9375,143.032,-76.7486,-330.772,,0,0,0,540.907,-1963.48,-49.0904,15.3146,51.0734,-4.16795,-13.0101,-105.95,55.7583,0,-261.278,,118.399,-38.2609,171,98.2086,-63.9571,,-141.939,-33.3614,9.66549,-16.9752,31.391,-41.2374,165.321,81.4434,31.5423,-7.80432,29.9736,34.416,-106.557,791.705,31.5875
