,,Subject1:Head_Head_End,Subject1:L_Collar_L_Humerus,,,Subject1:L_Elbow_L_Wrist,Subject1:L_Femur_L_Tibia,Subject1:L_Foot_L_Toe,Subject1:L_Humerus_L_Elbow,,Subject1:L_Tibia_L_Foot,,,Subject1:L_Wrist_L_Wrist_End,Subject1:LowerBack_Head,,,Subject1:LowerBack_L_Collar,,,Subject1:LowerBack_R_Collar,,,Subject1:R_Collar_R_Humerus,,,Subject1:R_Elbow_R_Wrist,Subject1:R_Femur_R_Tibia,Subject1:R_Foot_R_Toe,Subject1:R_Humerus_R_Elbow,,Subject1:R_Tibia_R_Foot,,,Subject1:R_Wrist_R_Wrist_End,Subject1:Root_L_Femur,,,Subject1:Root_LowerBack,,,Subject1:Root_R_Femur,,,Subject1:World_Root,,,,,,Subject1:Head_Head_End,Subject1:L_Collar_L_Humerus,,,Subject1:L_Elbow_L_Wrist,Subject1:L_Femur_L_Tibia,Subject1:L_Foot_L_Toe,Subject1:L_Humerus_L_Elbow,,Subject1:L_Tibia_L_Foot,,,Subject1:L_Wrist_L_Wrist_End,Subject1:LowerBack_Head,,,Subject1:LowerBack_L_Collar,,,Subject1:LowerBack_R_Collar,,,Subject1:R_Collar_R_Humerus,,,Subject1:R_Elbow_R_Wrist,Subject1:R_Femur_R_Tibia,Subject1:R_Foot_R_Toe,Subject1:R_Humerus_R_Elbow,,Subject1:R_Tibia_R_Foot,,,Subject1:R_Wrist_R_Wrist_End,Subject1:Root_L_Femur,,,Subject1:Root_LowerBack,,,Subject1:Root_R_Femur,,,Subject1:World_Root,,,,,,
Frame,Sub Frame,,RX,RY,RZ,R,R,,R1,R2,RX,RY,RZ,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,R,R,,R1,R2,RX,RY,RZ,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ,,RX',RY',RZ',R',R',,R1',R2',RX',RY',RZ',,RX',RY',RZ',RX',RY',RZ',RX',RY',RZ',RX',RY',RZ',R',R',,R1',R2',RX',RY',RZ',,RX',RY',RZ',RX',RY',RZ',RX',RY',RZ',RX',RY',RZ',TX',TY',TZ'
,,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm,,deg/s,deg/s,deg/s,deg/s,deg/s,,deg/s,deg/s,deg/s,deg/s,deg/s,,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,,deg/s,deg/s,deg/s,deg/s,deg/s,,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s
1081,0,,41.2409,15.0934,-81.2051,0,9.38686,,30.6303,10.7694,-4.09335,10.6345,1.84196,,0,0,0,-5.15288,-8.17354,10.0128,3.80266,35.1258,-5.90259,38.4608,-52.9933,92.3489,0,39.1879,,23.9158,20.0545,-6.15564,-21.8769,3.20001,,10.8907,0.726517,-1.96944,-1.86392,-4.01866,1.24905,-20.3018,-14.0885,-5.16725,2.71842,-2.21118,-1.9818,-90.1103,978.036,647.104,,27.9976,-39.4312,-74.3794,0,14.5425,,33.3525,26.5711,205.305,-70.1089,-705.081,,0,0,0,-12.2442,32.4899,19.288,11.2967,-2.59991,-39.4268,102.534,-17.8415,106.034,0,-141.522,,55.5241,21.5083,35.6748,-62.0296,-7.55942,,-5.59273,-26.7404,62.5861,-33.2296,-18.3756,46.297,68.5112,-63.0963,86.7627,12.5739,-33.3247,-31.0425,-320.098,548.446,624.865
1082,0,,41.5137,14.1541,-81.4785,0,9.5355,,30.908,11.0114,-1.37411,11.0364,4.51918,,0,0,0,-5.47351,-7.19304,10.2202,3.6477,34.2842,-6.14919,38.9612,-52.4631,92.5172,0,37.7902,,24.4737,20.3701,-5.76661,-22.2162,3.11297,,10.7959,0.935452,-1.68632,-2.2274,-4.24618,1.46972,-19.6317,-14.6408,-4.53602,2.82963,-2.52103,-2.08651,-93.0212,983.929,653.682,,27.2767,-93.9321,-27.3365,0,14.8645,,27.7702,24.2028,271.923,40.1909,267.722,,0,0,0,-32.063,98.05,20.7387,-15.4965,-84.1619,-24.6597,50.0451,53.0269,16.8344,0,-139.765,,55.7914,31.5626,38.9026,-33.9296,-8.70407,,-9.48457,20.8935,28.3124,-36.3483,-22.7518,22.067,67.0045,-55.2248,63.1232,11.1209,-30.985,-10.4708,-291.09,589.246,657.803
1083,0,,41.8245,13.7733,-82.303,0,9.73234,,31.2424,11.2977,1.01848,10.4988,2.31044,,0,0,0,-5.57219,-6.84119,10.486,3.71602,34.2575,-6.52869,40.018,-52.6295,93.5204,0,36.2132,,25.0621,20.5974,-5.27351,-22.3869,3.09944,,10.6879,0.917946,-1.08128,-2.59525,-4.61386,1.87007,-18.8123,-15.3191,-3.69043,2.94079,-2.74581,-2.3609,-96.496,989.965,660.475,,31.0798,-38.085,-82.4554,0,19.6833,,33.4409,28.6273,239.26,-53.7645,-220.874,,0,0,0,-9.86834,35.185,26.5799,6.83232,-2.66172,-37.9505,105.68,-16.6435,100.32,0,-157.703,,58.8359,22.7281,49.3102,-17.0726,-1.35289,,-10.7927,-1.75059,60.5041,-36.7853,-36.7682,40.035,81.9467,-67.8263,84.558,11.1161,-22.4774,-27.4394,-347.481,603.658,679.332
1084,0,,42.1341,12.8434,-82.6042,0,9.94123,,31.4997,11.5252,3.68269,10.2558,2.43556,,0,0,0,-5.87779,-5.85746,10.7676,3.54471,33.4859,-6.77337,40.4916,-52.1606,93.6357,0,34.6983,,25.6407,20.937,-4.73095,-22.3295,2.89284,,10.5385,1.00676,-0.64769,-2.97562,-4.99629,2.09085,-18.0272,-15.8591,-2.98276,3.04654,-2.95751,-2.49645,-99.872,996.064,667.422,,30.963,-92.9815,-30.1177,0,20.8892,,25.7365,22.7495,266.421,-24.3023,12.5128,,0,0,0,-30.5595,98.3732,28.1551,-17.1312,-77.1606,-24.4677,47.3619,46.8947,11.5239,0,-151.492,,57.8606,33.9585,54.2565,5.7389,-20.6601,,-14.9457,8.88121,43.3587,-38.0367,-38.2432,22.0774,78.5036,-54.0082,70.7676,10.5747,-21.1699,-13.5547,-337.601,609.863,694.68
1085,0,,42.4592,12.4805,-83.3487,0,10.2314,,31.7892,11.7863,6.14792,9.51015,-0.382082,,0,0,0,-5.96045,-5.51466,11.0591,3.58667,33.4807,-7.08212,41.4102,-52.3703,94.4839,0,33.1526,,26.2517,21.2437,-4.12766,-22.0799,2.74085,,10.3687,0.966466,-0.119347,-3.32584,-5.44385,2.32267,-17.1728,-16.3282,-2.226,3.13051,-3.12095,-2.65431,-103.482,1002.05,674.492,,32.5148,-36.2972,-74.4463,0,29.021,,28.946,26.1152,246.523,-74.5627,-281.765,,0,0,0,-8.26619,34.28,29.1493,4.19649,-0.524217,-30.8754,91.8558,-20.9724,84.82,0,-154.563,,61.1036,30.6793,60.3285,24.9645,-15.1989,,-16.9773,-4.02926,52.8343,-35.0217,-44.7561,23.1819,85.4472,-46.9029,75.6761,8.39699,-16.3449,-15.7863,-361.039,598.401,706.941
1086,0,,42.7899,12.1008,-83.9644,0,10.576,,32.0388,12.0113,8.854,9.11041,0.679678,,0,0,0,-6.06707,-5.13139,11.3358,3.52824,33.2682,-7.29611,42.092,-52.4115,95.0095,0,31.6549,,26.8413,21.5936,-3.50012,-21.6069,2.51568,,10.1571,1.12198,0.268893,-3.66349,-5.88813,2.41456,-16.3356,-16.6835,-1.57451,3.19331,-3.28366,-2.71026,-107.076,1007.88,681.702,,33.0677,-37.97,-61.5701,0,34.4607,,24.9579,22.4927,270.608,-39.9732,106.176,,0,0,0,-10.6625,38.3269,27.6747,-5.84278,-21.2456,-21.3984,68.1772,-4.1186,52.5631,0,-149.77,,58.9606,34.9897,62.7546,47.295,-22.5167,,-21.1645,15.5519,38.8241,-33.765,-44.4275,9.18959,83.7192,-35.538,65.1486,6.27963,-16.2708,-5.59497,-359.39,583.363,721.031
1087,0,,43.1053,10.7365,-83.59,0,11.035,,32.1617,12.0921,11.0985,8.01487,-3.14421,,0,0,0,-6.59213,-3.61022,11.6064,3.24803,32.3364,-7.44663,42.158,-51.8056,94.663,0,30.162,,27.3746,22.0243,-2.80444,-21.0133,2.28254,,9.89674,1.03136,0.767991,-3.9955,-6.35449,2.51798,-15.4943,-16.9061,-0.864987,3.26877,-3.41908,-2.79233,-110.901,1013.33,688.874,,31.5377,-136.43,37.4356,0,45.8998,,12.2964,8.08618,224.455,-109.554,-382.389,,0,0,0,-52.5054,152.117,27.0551,-28.0216,-93.1805,-15.0525,6.60752,60.5916,-34.6482,0,-149.293,,53.3243,43.0698,69.5677,59.3571,-23.3139,,-26.0316,-9.06251,49.9098,-33.2012,-46.6361,10.3415,84.1261,-22.2517,70.9524,7.54655,-13.5419,-8.20688,-382.447,544.989,717.247
1088,0,,43.43,10.428,-83.9461,0,11.5348,,32.3297,12.2211,13.6335,7.41206,-2.29774,,0,0,0,-6.73991,-3.26932,11.8118,3.40412,33.0292,-7.61409,43.2454,-52.6687,95.9532,0,28.7809,,27.9878,22.3752,-2.10162,-20.2142,2.22755,,9.62567,1.21205,1.03889,-4.27094,-6.78491,2.43419,-14.6931,-16.9151,-0.337496,3.29231,-3.56959,-2.721,-114.543,1018.41,696.151,,32.4704,-30.8438,-35.6071,0,49.9765,,16.7954,12.9015,253.497,-60.2813,84.6468,,0,0,0,-14.7786,34.0895,20.5452,15.6087,69.2813,-16.7463,108.734,-86.3175,129.018,0,-138.114,,61.3196,35.0865,70.2815,79.9089,-5.49958,,-27.1076,18.0687,27.0896,-27.5442,-43.042,-8.37913,80.1176,-0.903122,52.7491,2.35417,-15.0512,7.13336,-364.248,507.975,727.642
1089,0,,43.723,10.0691,-84.1338,0,12.2384,,32.4566,12.2921,15.6683,6.52087,-3.07275,,0,0,0,-6.90164,-2.82647,11.9956,3.00975,31.9766,-7.62852,42.9786,-51.9669,95.2408,0,27.3431,,28.4474,22.7775,-1.27981,-19.334,1.84696,,9.288,1.24183,1.41574,-4.54262,-7.21235,2.38271,-13.8635,-16.9415,0.262176,3.32268,-3.71316,-2.70071,-118.473,1022.97,703.414,,29.2984,-35.8955,-18.7735,0,70.3634,,12.6874,7.09477,203.476,-89.1182,-77.5006,,0,0,0,-16.1728,44.2846,18.3813,-39.4363,-105.269,-1.44271,-26.6818,70.1867,-71.2355,0,-143.771,,45.9597,40.2288,82.1813,88.0249,-38.0591,,-33.7668,2.97808,37.6851,-27.1677,-42.7447,-5.14717,82.963,-2.63884,59.9672,3.03694,-14.3568,2.02876,-392.965,455.57,726.294
1090,0,,43.9929,9.76625,-84.1569,0,13.015,,32.5302,12.2912,17.5347,5.70819,-3.46543,,0,0,0,-7.09533,-2.41887,12.1094,3.09596,32.606,-7.68291,43.7977,-52.7732,96.2757,0,26.0341,,28.9918,23.072,-0.425313,-18.314,2.0165,,8.92857,1.27751,1.63269,-4.78694,-7.59523,2.18513,-13.1207,-16.7032,0.708126,3.3388,-3.87268,-2.55485,-122.228,1026.89,710.613,,26.9892,-30.2828,-2.30587,0,77.6609,,7.36568,-0.0885363,186.646,-81.2688,-39.2684,,0,0,0,-19.3693,40.7605,11.3718,8.62057,62.9443,-5.43862,81.9097,-80.6328,103.485,0,-130.907,,54.4431,29.455,85.4499,101.998,16.9546,,-35.9424,3.56868,21.6948,-24.4323,-38.2877,-19.7586,74.2819,23.8304,44.595,1.61227,-15.952,14.5861,-375.475,392.628,719.929
1091,0,,44.2251,9.63362,-84.1498,0,13.9771,,32.5615,12.2328,19.0012,4.84892,-4.10666,,0,0,0,-7.24914,-2.16731,12.1541,2.69071,31.6473,-7.55611,43.2995,-52.1999,95.3846,0,24.7649,,29.4113,23.4745,0.577621,-17.2591,1.85676,,8.51702,1.31466,1.813,-5.00422,-7.94683,1.93855,-12.4102,-16.394,1.10132,3.34438,-4.03658,-2.37358,-125.991,1030.13,717.762,,23.2196,-13.2633,0.70351,0,96.2028,,3.12584,-5.84485,146.652,-85.9272,-64.123,,0,0,0,-15.3802,25.1557,4.47523,-40.5245,-95.8723,12.6795,-49.816,57.3265,-89.1094,0,-126.913,,41.9486,40.2464,100.293,105.49,-15.9747,,-41.1556,3.71415,18.031,-21.7278,-35.1603,-24.6578,71.0516,30.9227,39.319,0.557109,-16.3898,18.1271,-376.353,323.641,714.892
1092,0,,44.4175,9.54631,-84.0007,0,14.7632,,32.5193,12.0823,20.2977,4.28688,-4.64311,,0,0,0,-7.46363,-1.96112,12.1271,2.6395,31.6131,-7.4423,43.2467,-52.5019,95.3907,0,23.7815,,29.8757,23.8085,1.53532,-16.0979,2.19448,,8.22988,1.16101,1.72722,-5.20193,-8.18498,1.52852,-11.8914,-15.8197,1.25424,3.33571,-4.29837,-2.0213,-129.325,1032.55,724.806,,19.2427,-8.73043,14.911,0,78.6138,,-4.2214,-15.0499,129.64,-56.2039,-53.6445,,0,0,0,-21.4496,20.6195,-2.69861,-5.12143,-3.42227,11.3813,-5.27666,-30.2017,0.609936,0,-98.3418,,46.4467,33.3988,95.7704,116.12,33.7728,,-28.7142,-15.3642,-8.57754,-19.7706,-23.8148,-41.0027,51.8742,57.4212,15.2922,-0.866452,-26.1787,35.228,-333.376,241.971,704.39
1093,0,,44.5263,9.75597,-83.9388,0,16.543,,32.4735,11.9081,20.746,3.27125,-4.25147,,0,0,0,-7.46641,-1.96175,12.0335,2.39393,31.632,-7.24954,43.3501,-52.7483,95.4216,0,22.4081,,30.2331,24.0647,2.84341,-14.9954,2.2922,,7.47271,1.46757,1.96337,-5.40627,-8.53873,1.24207,-11.1336,-15.4803,1.64062,3.35138,-4.3793,-1.84008,-133.361,1034.22,731.797,,10.8825,20.9653,6.19293,0,177.98,,-4.58135,-17.4156,44.8366,-101.562,39.1637,,0,0,0,-0.277476,-0.0636061,-9.3653,-24.5568,1.89674,19.2759,10.3324,-24.6389,3.09134,0,-137.346,,35.7362,25.6233,130.808,110.25,9.77135,,-75.717,30.6558,23.6151,-20.4341,-35.3748,-28.6456,75.7858,33.9411,38.6377,1.56687,-8.09296,18.1218,-403.574,167.048,699.156
1094,0,,44.5922,10.0292,-83.8095,0,17.5515,,32.3293,11.625,21.3279,2.85176,-4.45552,,0,0,0,-7.54904,-2.07621,11.8857,2.29824,31.5508,-7.0077,43.0331,-53.0243,95.165,0,21.6391,,30.5889,24.3572,3.88543,-13.8438,2.54468,,7.17067,1.30861,1.69344,-5.57646,-8.63533,0.680008,-10.7278,-14.8089,1.59777,3.32097,-4.70181,-1.35467,-136.507,1034.92,738.746,,6.58806,27.3244,12.9268,0,100.848,,-14.4175,-28.3117,58.1852,-41.9499,-20.4048,,0,0,0,-8.26282,-11.4452,-14.774,-9.56895,-8.12417,24.1845,-31.6969,-27.5998,-25.6631,0,-76.8967,,35.5761,29.2515,104.203,115.161,25.2488,,-30.204,-15.8958,-26.9932,-17.0194,-9.65985,-56.206,40.5816,67.1452,-4.2841,-3.04103,-32.251,48.5409,-314.678,69.6659,694.841
1095,0,,44.5843,10.5516,-83.7884,0,19.2069,,32.149,11.2967,21.2658,2.26589,-4.11204,,0,0,0,-7.47131,-2.41539,11.6936,2.08341,31.4518,-6.70234,42.7081,-53.2171,94.8158,0,20.7756,,30.8502,24.6157,4.9603,-12.7714,2.83271,,6.60158,1.40514,1.56292,-5.71948,-8.76116,0.158033,-10.2107,-14.2968,1.63393,3.28446,-4.9324,-0.93606,-139.963,1034.69,745.627,,-0.790594,52.2377,2.11189,0,165.537,,-18.0252,-32.8259,-6.20557,-58.5868,34.3479,,0,0,0,7.77284,-33.9187,-19.2127,-21.483,-9.89353,30.5353,-32.5004,-19.2792,-34.92,0,-86.3513,,26.1337,25.8489,107.487,107.24,28.8024,,-56.9087,9.65289,-13.0523,-14.3015,-12.5833,-52.1975,51.7087,51.2127,3.61516,-3.65061,-23.0599,41.861,-345.524,-22.471,688.13
1096,0,,44.5256,11.5307,-84.1324,0,21.1147,,31.9297,10.9404,20.8056,1.77926,-3.54311,,0,0,0,-7.18897,-3.27953,11.4771,1.95803,31.698,-6.37915,42.5488,-53.7042,94.7733,0,20.1052,,31.0631,24.8326,5.7896,-11.8108,2.99813,,5.92872,1.55885,1.40319,-5.86894,-8.83994,-0.396232,-9.76799,-13.8859,1.61087,3.26254,-5.16476,-0.487154,-143.372,1033.46,752.385,,-5.87362,97.908,-34.3955,0,190.783,,-21.9321,-35.6301,-46.0201,-48.6624,56.8931,,0,0,0,28.2342,-86.4138,-21.6512,-12.5383,24.6181,32.3189,-15.9256,-48.7068,-4.25111,0,-67.0402,,21.2859,21.6829,82.9299,96.0647,16.542,,-67.2865,15.3703,-15.9729,-14.9459,-7.87777,-55.4265,44.2684,41.0877,-2.30523,-2.19187,-23.2352,44.8906,-340.898,-122.762,675.774
1097,0,,44.3862,12.17,-84.0933,0,23.2126,,31.6007,10.4955,19.9805,1.42485,-3.03143,,0,0,0,-7.02679,-3.71611,11.2503,1.73865,31.6013,-6.0074,42.0459,-53.859,94.2609,0,19.6927,,31.1774,25.063,6.17159,-11.0135,2.96702,,5.21714,1.75239,1.22077,-5.98717,-8.86343,-0.971403,-9.37333,-13.6175,1.53458,3.2235,-5.40869,-0.0169343,-146.729,1031.21,759.092,,-13.9315,63.9329,3.9055,0,209.795,,-32.8969,-44.4894,-82.5147,-35.4413,51.1675,,0,0,0,16.2171,-43.6582,-22.6774,-21.9382,-9.67223,37.1756,-50.2924,-15.4765,-51.2367,0,-41.2472,,11.4303,23.044,38.1985,79.7288,-3.11141,,-71.1578,19.3543,-18.2418,-11.8232,-2.34924,-57.5171,39.4658,26.8326,-7.6291,-3.90426,-24.3936,47.022,-335.732,-225.294,670.713
1098,0,,44.1883,12.8696,-84.0917,0,25.4718,,31.1987,10.0198,18.7807,1.21389,-3.05974,,0,0,0,-6.82241,-4.22699,11.0198,1.53954,31.5556,-5.63042,41.5268,-54.0063,93.7485,0,19.5939,,31.2084,25.2684,5.91711,-10.4291,2.69394,,4.47943,1.96601,1.03387,-6.06721,-8.83534,-1.54527,-9.03437,-13.5122,1.41915,3.16816,-5.66888,0.460459,-150.041,1027.92,765.75,,-19.7925,69.9635,0.161192,0,225.91,,-40.2045,-47.5753,-119.977,-21.0958,-2.8306,,0,0,0,20.4381,-51.0879,-23.0556,-19.9108,-4.57145,37.6972,-51.9074,-14.7296,-51.2387,0,-9.87799,,3.09852,20.5389,-25.448,58.4404,-27.3076,,-73.7711,21.3624,-18.6902,-8.00391,2.80951,-57.3867,33.8968,10.5358,-11.5432,-5.53393,-26.019,47.7393,-331.208,-329.03,665.826
1099,0,,43.9337,13.5243,-84.0538,0,27.853,,30.7185,9.52908,17.193,1.16686,-4.04702,,0,0,0,-6.62181,-4.70186,10.7939,1.36012,31.5303,-5.2592,40.9908,-54.1023,93.2154,0,19.8309,,31.1539,25.4419,4.9131,-10.0895,2.20609,,3.73662,2.19132,0.861157,-6.0954,-8.75577,-2.09369,-8.74658,-13.5396,1.28397,3.09203,-5.95489,0.927479,-153.322,1023.6,772.371,,-25.4612,65.4652,3.78597,0,238.129,,-48.022,-49.0689,-158.772,-4.70352,-98.7284,,0,0,0,20.0607,-47.4867,-22.584,-17.9418,-2.53195,37.1221,-53.6044,-9.60393,-53.3124,0,23.6951,,-5.44742,17.3497,-100.4,33.9617,-48.7852,,-74.2811,22.5308,-17.2711,-2.81937,7.95691,-54.8422,28.7784,-2.73617,-13.5177,-7.61331,-28.6006,46.702,-328.051,-431.609,662.07
1100,0,,43.6149,14.1462,-84.0053,0,30.321,,30.1757,9.05835,15.2295,1.32742,-6.05306,,0,0,0,-6.41605,-5.15275,10.5698,1.22509,31.5673,-4.91504,40.4927,-54.1668,92.7316,0,20.3705,,31.0133,25.5585,3.18067,-9.99372,1.58515,,3.0037,2.44612,0.729422,-6.05761,-8.62564,-2.58185,-8.49005,-13.6277,1.16153,2.99016,-6.2781,1.35864,-156.6,1018.32,778.967,,-31.8768,62.189,4.8549,0,246.797,,-54.2761,-47.0735,-196.344,16.0564,-200.603,,0,0,0,20.5759,-45.0897,-22.4166,-13.5031,3.70538,34.4169,-49.8112,-6.44565,-48.3775,0,53.9645,,-14.0555,11.6593,-173.244,9.57456,-62.0934,,-73.2915,25.4797,-13.1735,3.77953,13.0125,-48.8159,25.6533,-8.8182,-12.2447,-10.1865,-32.3215,43.1164,-327.836,-528.872,659.585
1101,0,,43.24,14.6767,-83.901,0,32.8359,,29.5764,8.63003,12.9457,1.76008,-8.71386,,0,0,0,-6.23775,-5.5201,10.3444,1.12511,31.6341,-4.59655,40.0252,-54.1576,92.2655,0,21.1502,,30.7873,25.6049,0.85389,-10.1008,0.98226,,2.29038,2.76573,0.658257,-5.93964,-8.43796,-2.98541,-8.24475,-13.6861,1.08031,2.85921,-6.6559,1.734,-159.903,1012.16,785.538,,-37.4984,53.056,10.4311,0,251.485,,-59.9359,-42.8323,-228.38,43.2658,-266.08,,0,0,0,17.8293,-36.7341,-22.5388,-9.99764,6.67719,31.8489,-46.7462,0.915245,-46.6126,0,77.9704,,-22.5984,4.64641,-232.678,-10.7067,-60.2893,,-71.3321,31.9613,-7.11647,11.7966,18.7684,-40.3559,24.53,-5.83716,-8.1214,-13.0949,-37.7794,37.5354,-330.311,-615.466,657.111
1102,0,,42.8176,15.1457,-83.7733,0,35.3672,,28.9388,8.2737,10.3906,2.48078,-11.6814,,0,0,0,-6.0867,-5.84009,10.1085,1.07412,31.7489,-4.30926,39.6106,-54.0833,91.842,0,22.079,,30.4832,25.5633,-1.85522,-10.3625,0.481927,,1.59608,3.17693,0.685901,-5.73063,-8.19905,-3.26444,-7.98322,-13.643,1.08723,2.69935,-7.09777,2.01994,-163.278,1005.3,792.063,,-42.2317,46.8942,12.767,0,253.136,,-63.7564,-35.6323,-255.509,72.0697,-296.755,,0,0,0,15.1052,-31.9992,-23.59,-5.09973,11.4785,28.7283,-41.4657,7.42578,-42.3472,0,92.8761,,-30.4148,-4.16693,-270.911,-26.1677,-50.0333,,-69.43,41.1196,2.76442,20.9005,23.8904,-27.9033,26.153,4.30891,0.691269,-15.9861,-44.1876,28.5947,-337.47,-686.562,652.522
1103,0,,42.3568,15.4792,-83.5599,0,37.8664,,28.2752,8.00485,7.60084,3.44701,-14.8263,,0,0,0,-5.9939,-6.03227,9.85441,1.00658,31.6681,-4.06177,39.1085,-53.695,91.2261,0,23.073,,30.085,25.4443,-4.71737,-10.7418,0.0608962,,0.938821,3.6977,0.849015,-5.41162,-7.89284,-3.38023,-7.67694,-13.4462,1.22905,2.50451,-7.62189,2.18259,-166.763,997.917,798.515,,-46.0881,33.3479,21.3402,0,249.915,,-66.3628,-26.8856,-278.981,96.6228,-314.488,,0,0,0,9.28035,-19.2181,-25.406,-6.75382,-8.0825,24.7491,-50.2043,38.8378,-61.5919,0,99.4003,,-39.8234,-11.8948,-286.216,-37.9321,-42.1031,,-65.7258,52.0775,16.3113,31.9016,30.6216,-11.5792,30.6279,19.6797,14.1827,-19.4847,-52.4114,16.2645,-348.54,-737.882,645.167
1104,0,,41.8695,15.6684,-83.2637,0,40.2902,,27.6078,7.84109,4.63811,4.59308,-18.0415,,0,0,0,-5.96204,-6.07765,9.58533,1.04256,31.9342,-3.87273,38.9018,-53.5035,90.9997,0,24.0825,,29.6461,25.2074,-7.53036,-11.2118,-0.417928,,0.269338,4.30545,1.15419,-5.03931,-7.52302,-3.32748,-7.37833,-13.0965,1.51858,2.3228,-8.22237,2.21809,-170.334,990.275,804.746,,-48.7218,18.9239,29.6205,0,242.382,,-66.7412,-16.3761,-296.273,114.608,-321.517,,0,0,0,3.18624,-4.53815,-26.9076,3.59833,26.6118,18.9043,-20.674,19.1474,-22.6421,0,100.946,,-43.8877,-23.6958,-281.299,-46.9996,-47.8824,,-66.9483,60.7746,30.518,37.231,36.9817,5.27521,29.8612,34.9767,28.9527,-18.1709,-60.0482,3.55031,-357.081,-764.138,623.107
1105,0,,41.3451,15.8448,-82.9971,0,42.676,,26.9767,7.8191,1.44068,5.80276,-22.6067,,0,0,0,-5.93561,-6.12536,9.3027,1.11044,32.2858,-3.74709,38.8324,-53.2248,90.8962,0,25.1923,,29.1619,24.8786,-10.0906,-11.9963,-3.96706,,-0.391263,5.00663,1.72544,-4.53087,-7.12355,-3.02377,-7.08527,-12.8006,2.07979,2.10491,-8.8814,2.03653,-174.182,982.645,810.613,,-52.4412,17.6414,26.6603,0,238.586,,-63.1045,-2.19864,-319.743,120.968,-456.523,,0,0,0,2.64298,-4.7708,-28.2638,6.78779,35.1577,12.5637,-6.9405,27.873,-10.3464,0,110.981,,-48.4206,-32.8783,-256.019,-78.4497,-354.914,,-66.0601,70.1184,57.1248,50.8439,39.9472,30.371,29.3058,29.5863,56.1215,-21.7883,-65.9032,-18.156,-384.83,-763.053,586.766
1106,0,,40.8909,15.9767,-82.7825,0,44.6831,,26.3834,7.89266,-1.45965,7.03841,-24.5953,,0,0,0,-5.98076,-6.17119,9.04377,1.22375,32.6363,-3.67812,38.834,-52.895,90.8765,0,25.9915,,28.6626,24.4766,-12.4937,-12.4499,-1.11785,,-0.964048,5.69173,2.2033,-4.03999,-6.69108,-2.73483,-6.70538,-11.8969,2.5628,1.90579,-9.57306,1.87853,-177.615,975.411,816.237,,-45.4225,13.1905,21.4646,0,200.701,,-59.3303,7.35637,-290.033,123.566,-198.858,,0,0,0,-4.51578,-4.58327,-25.8922,11.3314,35.0587,6.89713,0.16734,32.9755,-1.96846,0,79.92,,-49.9321,-40.2028,-240.319,-45.3579,284.921,,-57.2785,68.51,47.7862,49.0875,43.2465,28.8938,37.9889,90.3719,48.3008,-19.9126,-69.1654,-15.8006,-343.259,-723.38,562.328
1107,0,,40.4733,16.091,-82.5914,0,46.4301,,25.8617,8.05963,-4.16281,8.14261,-26.8594,,0,0,0,-6.05792,-6.19672,8.76338,1.34709,32.9739,-3.64953,38.9005,-52.5244,90.8965,0,26.7759,,28.1772,24.0289,-14.2917,-12.9694,-3.81408,,-1.52108,6.3639,2.85529,-3.55485,-6.26087,-2.25984,-6.42254,-11.4882,3.21679,1.73843,-10.2629,1.55863,-180.995,969.006,821.205,,-41.7594,11.4274,19.1075,0,174.705,,-52.1681,16.6965,-270.315,110.419,-226.418,,0,0,0,-7.71547,-2.5533,-28.0393,12.3338,33.7538,2.85946,6.64714,37.0654,1.99988,0,78.4435,,-48.537,-44.7656,-179.8,-51.9564,-269.623,,-55.703,67.2164,65.1989,48.5145,43.0218,47.4993,28.2844,40.8681,65.399,-16.736,-68.9882,-31.9894,-338.031,-640.541,496.811
1108,0,,40.1286,16.1577,-82.4476,0,47.8039,,25.4341,8.26594,-6.41289,9.07208,-28.3007,,0,0,0,-6.15796,-6.19458,8.55196,1.46808,33.2401,-3.66082,39.0026,-52.1173,90.9582,0,27.3701,,27.7454,23.581,-15.8324,-13.3614,-1.80056,,-2.02666,6.92935,3.38692,-3.16248,-5.86335,-1.86866,-6.20052,-10.6323,3.7593,1.62977,-10.8875,1.29969,-183.787,963.666,825.35,,-34.4761,6.67258,14.3823,0,137.379,,-42.7609,20.6309,-225.008,92.947,-144.131,,0,0,0,-10.0038,0.214383,-21.1417,12.0984,26.6227,-1.12929,10.204,40.709,6.16493,0,59.4143,,-43.1762,-44.7949,-154.067,-39.202,201.352,,-50.5587,56.5451,53.1626,39.2367,39.752,39.1182,22.2013,85.5925,54.2505,-10.8659,-62.4538,-25.8941,-279.136,-533.998,414.479
