Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
94,0,75.8702,108.299,70.1183,-320.72,19.1007,1130.46
95,0,76.0148,108.067,69.6833,-323.816,19.9167,1130.15
96,0,76.1215,107.756,69.2772,-326.596,20.5455,1129.67
97,0,76.2301,107.472,68.9754,-329.212,21.0438,1129.24
98,0,76.2701,107.1,68.7889,-331.423,21.4476,1128.72
99,0,76.2734,106.673,68.6539,-333.417,21.6634,1128.13
100,0,76.238,106.28,68.6323,-335.196,21.6865,1127.59
101,0,76.0867,105.82,68.7906,-336.462,21.6399,1127.06
102,0,75.9089,105.37,68.978,-337.707,21.3099,1126.62
103,0,75.6878,104.931,69.2313,-338.865,20.7578,1126.35
104,0,75.4191,104.514,69.5509,-339.972,19.9953,1126.31
105,0,75.076,104.164,69.8643,-341.172,18.7677,1126.52
106,0,74.7094,103.852,70.3182,-342.306,17.6775,1127.14
107,0,74.3242,103.504,70.8043,-343.424,16.578,1128.12
108,0,73.9518,103.225,71.3389,-344.791,15.4834,1129.61
109,0,73.5913,102.888,71.9043,-346.156,14.5516,1131.59
110,0,73.2516,102.594,72.49,-347.786,13.7803,1134.07
111,0,72.9579,102.249,73.0823,-349.495,13.2165,1137.06
112,0,72.7071,101.863,73.6954,-351.296,12.9476,1140.54
113,0,72.4919,101.42,74.3253,-353.094,12.9911,1144.44
114,0,72.319,100.91,74.9737,-354.924,13.3272,1148.67
115,0,72.1846,100.344,75.5987,-356.618,13.934,1153.17
116,0,72.0735,99.7092,76.2256,-358.134,14.8328,1157.84
117,0,71.9865,99.0168,76.8479,-359.498,15.9877,1162.59
118,0,71.907,98.2586,77.4714,-360.601,17.3834,1167.29
119,0,71.8318,97.4508,78.0863,-361.481,18.9494,1171.86
120,0,71.7607,96.6018,78.6891,-362.154,20.6587,1176.19
121,0,71.6885,95.7109,79.2883,-362.589,22.5362,1180.16
122,0,71.6225,94.793,79.8661,-362.875,24.5146,1183.72
123,0,71.5662,93.8542,80.4178,-363.052,26.587,1186.79
