Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
101,0,6.60665,122.705,128.043,98.9507,-230.709,1293.4
102,0,7.20937,122.627,127.871,98.901,-230.425,1288.94
103,0,7.65244,122.341,127.722,98.8831,-230.251,1283.49
104,0,7.7569,122.721,127.55,98.8899,-230.281,1276.89
105,0,8.06494,122.622,127.263,99.0177,-230.273,1269.33
106,0,8.01695,123.071,127.015,99.245,-230.523,1260.57
107,0,8.1679,123.349,126.658,99.4907,-230.874,1250.91
108,0,8.27277,123.653,126.27,99.8806,-231.359,1240.14
109,0,8.40444,123.954,125.806,100.303,-231.723,1228.79
110,0,8.38122,124.323,125.245,100.959,-232.326,1216.4
111,0,8.65178,124.682,124.697,101.429,-232.867,1203.7
112,0,8.50454,125.074,124.112,102.075,-233.482,1190.46
113,0,8.56353,125.419,123.555,102.53,-233.934,1177.65
114,0,8.4539,125.735,123.021,103.129,-234.428,1165.16
115,0,8.59651,125.932,122.572,103.613,-234.534,1153.96
116,0,8.66814,126.08,122.179,104.131,-234.648,1144.33
117,0,8.80716,126.141,121.895,104.519,-234.535,1136.83
118,0,8.96292,126.113,121.727,104.825,-234.194,1131.9
119,0,9.11857,125.991,121.696,105.019,-233.637,1129.87
120,0,9.22923,125.839,121.743,105.172,-233.027,1130.76
121,0,9.26717,125.61,121.936,105.234,-232.288,1134.61
122,0,9.17735,125.359,122.245,105.186,-231.6,1141.24
123,0,9.03161,125.05,122.701,105.039,-230.893,1150.19
124,0,8.17474,124.697,123.399,104.737,-230.427,1161.34
125,0,7.89589,124.448,123.909,104.43,-229.926,1173.61
126,0,7.65444,124.216,124.402,104.22,-229.534,1186.6
127,0,7.27136,124.033,124.913,103.661,-229.275,1200.19
128,0,6.97194,123.842,125.333,103.5,-229.31,1213.42
129,0,6.52003,123.693,125.75,103.02,-229.319,1226.46
130,0,5.78087,123.597,126.151,102.7,-229.278,1238.91
131,0,5.53879,123.508,126.472,102.212,-229.663,1250.55
132,0,5.58119,123.384,126.685,101.143,-230.1,1260.17
133,0,5.65722,123.298,126.821,100.112,-230.214,1269.42
134,0,6.07165,122.668,126.982,99.7368,-229.907,1277.35
135,0,5.83984,122.765,127.021,98.9113,-230.872,1283.66
136,0,5.81402,122.921,126.742,98.1051,-231.074,1288.89
137,0,5.86631,122.541,127.158,97.7364,-231.334,1293.04
138,0,5.95632,122.174,127.132,97.6455,-231.334,1295.78
139,0,5.91445,122.034,127.113,97.1634,-231.612,1297.16
140,0,6.08157,121.681,127.181,97.1064,-231.523,1297.33
141,0,6.13621,121.4,127.222,96.8409,-231.634,1296.3
142,0,6.24066,121.039,127.303,96.9045,-231.578,1294.06
143,0,6.32939,120.652,127.457,96.888,-231.606,1290.73
144,0,6.39926,120.324,127.507,96.9636,-231.556,1286.02
145,0,6.56597,119.988,127.556,96.9111,-231.79,1280.11
146,0,6.7154,119.719,127.49,96.9402,-232.152,1272.62
147,0,7.32843,119.28,127.507,96.6433,-232.088,1264.15
148,0,7.16628,119.302,127.424,96.8054,-233.082,1254.7
149,0,7.58287,119.135,127.268,96.5856,-233.637,1243.98
150,0,7.49934,119.213,127.057,96.666,-234.784,1232.67
151,0,7.31522,119.292,126.759,96.7084,-236.107,1220.58
152,0,7.39814,119.436,126.549,96.6367,-237.212,1208.84
153,0,7.56242,119.584,126.278,96.5057,-238.233,1197.29
154,0,7.26566,119.771,126.084,96.5225,-239.315,1187.08
155,0,6.95908,119.996,125.91,96.4609,-240.502,1177.95
156,0,6.57404,120.227,125.79,96.3755,-241.634,1170.76
157,0,6.12392,120.446,125.732,96.276,-242.686,1165.88
158,0,5.63368,120.639,125.733,96.1552,-243.645,1163.61
159,0,4.85057,120.805,125.918,96.2134,-244.315,1164.07
160,0,4.19258,120.921,126.054,96.0634,-245.062,1167.12
161,0,3.82276,120.984,126.17,95.9293,-245.772,1172.83
162,0,3.65297,120.976,126.254,95.792,-246.394,1180.43
163,0,3.29375,121.044,126.279,95.7177,-247.421,1189.85
164,0,2.95038,121.1,126.237,95.6034,-248.673,1200.06
165,0,2.96164,121.109,126.233,95.6982,-249.709,1211.56
166,0,2.8788,121.176,126.051,95.6076,-251.3,1222.68
167,0,3.31693,120.832,125.943,95.6928,-252.318,1233.75
168,0,3.27464,121.189,125.778,95.4101,-254.396,1244.56
169,0,3.20491,121.408,125.529,95.1071,-256.57,1254.04
170,0,4.12224,121.376,125.43,95.0175,-258.231,1263.29
171,0,3.85728,120.924,125.416,94.5367,-259.997,1270.38
172,0,3.8158,121.482,125.29,94.1901,-262.26,1276.83
173,0,3.75097,121.886,125.054,93.5995,-264.602,1281.54
174,0,3.75704,121.815,125.286,93.4424,-266.402,1285.44
175,0,3.98634,122.099,125.065,92.6766,-268.41,1287.48
176,0,4.01315,121.994,125.326,92.4751,-270.095,1288.73
177,0,4.30991,122.108,125.344,92.0637,-271.879,1288.4
178,0,4.56913,122.029,125.378,91.4435,-273.283,1287.02
179,0,4.82822,122.221,125.357,91.1511,-274.987,1284.33
180,0,5.14113,122.092,125.33,90.591,-276.245,1280.68
181,0,5.54767,122.33,125.2,90.417,-277.847,1275.64
182,0,5.70014,122.216,125.081,90.0123,-279.183,1269.85
183,0,6.20888,122.104,124.827,89.7413,-280.537,1262.65
184,0,6.36277,122.337,124.594,89.6652,-282.086,1254.41
185,0,6.55068,122.475,124.273,89.651,-283.582,1245.13
186,0,6.82537,122.58,123.908,89.6637,-285.01,1234.83
187,0,7.20124,122.677,123.432,89.8516,-286.459,1223.59
188,0,7.38768,122.914,122.922,90.2765,-288.125,1211.54
189,0,7.46211,123.072,122.422,90.6921,-289.676,1199.16
190,0,7.62741,123.225,121.907,91.1942,-291.114,1186.6
191,0,7.68542,123.367,121.413,91.6718,-292.507,1174.36
192,0,7.70387,123.495,120.942,92.1266,-293.81,1162.95
193,0,7.74163,123.608,120.509,92.5002,-294.993,1152.91
194,0,7.68297,123.669,120.127,92.9635,-295.946,1144.79
195,0,7.62542,123.706,119.824,93.3267,-296.722,1139.02
196,0,7.54356,123.719,119.61,93.5828,-297.318,1135.93
197,0,7.52292,123.701,119.503,93.7262,-297.639,1135.83
198,0,7.27843,123.72,119.471,93.7562,-298.067,1138.4
199,0,7.18648,123.706,119.577,93.5759,-298.136,1143.94
200,0,6.97704,123.746,119.693,93.4939,-298.562,1151.52
201,0,6.83036,123.769,119.922,93.2944,-298.725,1161.17
202,0,6.68283,123.795,120.186,93.1704,-298.99,1172.18
203,0,6.53938,123.844,120.49,92.8353,-299.281,1184.31
204,0,6.47865,123.897,120.761,92.8845,-299.903,1196.47
205,0,6.34872,123.98,121.073,92.6248,-300.575,1208.81
206,0,6.23654,123.958,121.405,92.6123,-301.097,1220.77
207,0,5.88623,124.025,121.64,92.3652,-302.448,1232.56
208,0,5.82164,123.855,121.876,92.523,-302.78,1243.17
209,0,5.08441,124.139,122.03,92.1334,-304.938,1253.01
210,0,5.09241,124.309,122.188,90.9842,-306.998,1260.46
211,0,5.2886,124.409,122.276,89.9467,-308.483,1267.8
212,0,5.74717,123.852,122.318,90.02,-309.572,1274.02
213,0,5.44795,124.109,122.337,89.2963,-312.207,1278.27
214,0,5.43673,124.213,122.394,88.537,-313.962,1281.65
215,0,5.02727,124.397,122.285,88.1721,-316.024,1283.84
216,0,5.05631,124.139,122.493,88.2741,-317.581,1284.8
217,0,5.2158,123.892,122.569,88.0608,-319.241,1284.89
218,0,5.43754,123.626,122.573,88.2661,-320.768,1283.04
219,0,5.42556,123.595,122.778,87.1843,-322.215,1280
220,0,5.78394,123.289,122.96,86.8817,-323.302,1275.7
221,0,5.87566,123.059,123.18,86.5384,-324.636,1269.92
222,0,6.35981,122.846,123.298,85.8497,-325.536,1263.58
223,0,6.72792,122.582,123.479,85.4519,-326.483,1255.97
224,0,7.03192,122.35,123.699,85.145,-327.363,1247.34
225,0,7.30735,122.147,123.894,84.8542,-328.229,1237.74
226,0,7.56251,121.996,124.023,84.6204,-329.179,1227.29
227,0,7.58487,121.915,124.116,84.4003,-330.215,1216.26
228,0,7.73491,121.873,124.357,84.2538,-330.963,1205.65
229,0,8.13669,121.751,124.511,83.9726,-331.353,1195.32
230,0,7.91235,121.857,124.651,84.0319,-332.261,1185.99
231,0,7.53701,121.905,124.8,84.0619,-332.952,1177.9
232,0,7.55099,121.949,124.995,83.9568,-333.385,1172.06
233,0,7.44323,121.976,125.179,83.8988,-333.673,1168.46
234,0,7.41452,121.99,125.357,83.793,-333.802,1167.38
235,0,7.22617,121.989,125.552,83.6322,-334.019,1169.02
236,0,7.02688,121.98,125.763,83.5535,-334.128,1173.07
237,0,6.60925,121.971,126.03,83.5928,-334.071,1179.51
238,0,6.45815,121.974,126.226,83.4488,-334.15,1187.81
239,0,6.2417,121.934,126.477,83.5498,-333.98,1197.8
240,0,6.24929,121.907,126.636,83.5477,-333.963,1208.6
241,0,5.95563,121.976,126.785,83.5807,-334.125,1219.88
242,0,5.67505,122.036,126.906,83.5618,-334.423,1231.06
243,0,5.81275,122.003,126.994,83.5874,-334.436,1241.79
244,0,5.45286,122.274,127.07,83.58,-335.076,1252.13
245,0,5.15579,122.422,127.142,83.6641,-335.61,1261.35
246,0,4.87291,122.551,127.145,83.5507,-336.244,1269.01
247,0,4.76033,122.697,127.233,83.7455,-336.754,1276.15
248,0,4.66996,122.833,127.229,83.8273,-337.476,1281.52
249,0,4.62311,122.835,127.267,83.7896,-338.089,1285.48
250,0,4.54953,122.926,127.291,83.8011,-338.831,1288.1
251,0,4.77562,123.004,127.255,83.9747,-339.567,1289.24
252,0,4.57901,122.888,127.368,83.789,-340.24,1289.25
253,0,4.91607,122.784,127.355,84.044,-340.887,1287.83
254,0,4.69932,122.829,127.484,84.031,-341.62,1285.31
255,0,5.00562,122.617,127.629,84.1422,-342.06,1281.49
256,0,4.96626,122.758,127.607,84.2764,-342.993,1276.71
257,0,5.08398,122.714,127.71,84.53,-343.583,1270.61
258,0,5.08015,122.849,127.704,84.6621,-344.595,1263.59
259,0,5.21405,122.888,127.736,84.9404,-345.427,1255.23
260,0,5.06878,123.232,127.624,85.0839,-346.74,1245.91
261,0,5.50183,123.121,127.518,85.3966,-347.852,1235.37
262,0,5.30171,123.629,127.365,85.543,-349.413,1223.86
263,0,5.0778,124.022,127.149,86.2258,-351.008,1211.73
264,0,5.07804,124.393,126.785,86.744,-352.676,1198.43
265,0,5.30682,124.734,126.392,86.9902,-354.258,1184.67
266,0,5.2868,125.193,125.923,87.6099,-356.184,1170.9
267,0,5.13303,125.439,125.526,88.5071,-357.699,1157.8
268,0,5.04106,125.705,125.104,89.1489,-359.186,1145.39
269,0,4.96407,125.899,124.741,89.7278,-360.424,1134.45
270,0,4.86815,126.009,124.446,90.3012,-361.366,1125.56
271,0,4.74866,126.029,124.233,90.8836,-361.964,1119.22
272,0,4.63964,125.952,124.122,91.4125,-362.186,1115.79
273,0,4.52338,125.809,124.094,91.9484,-362.152,1115.52
274,0,4.42793,125.608,124.157,92.3831,-361.779,1118.33
275,0,4.29524,125.371,124.304,92.7764,-361.236,1124.18
276,0,4.22796,125.114,124.517,93.0508,-360.548,1132.68
277,0,4.1699,124.878,124.76,93.2564,-359.87,1143.45
278,0,4.25535,124.682,125.02,93.288,-359.227,1155.79
279,0,4.416,124.52,125.263,93.3339,-358.693,1169.12
280,0,4.47556,124.405,125.493,93.2896,-358.282,1183.31
281,0,4.59653,124.353,125.661,93.5014,-358.296,1197.26
282,0,4.63237,124.364,125.842,93.4395,-358.423,1211.18
283,0,4.40316,124.267,125.989,93.6104,-358.441,1224.46
284,0,4.14358,124.242,126.072,94.175,-358.963,1237.59
285,0,3.64766,124.285,126.299,94.1293,-359.094,1249.27
286,0,3.58187,124.462,126.32,93.2765,-360.436,1259.13
287,0,3.63292,124.553,126.355,92.9179,-360.893,1268.35
288,0,3.53049,124.584,126.31,92.6471,-362.084,1276.26
289,0,3.37543,124.598,126.3,92.5597,-362.534,1282.99
290,0,3.47409,124.472,126.223,92.6832,-363.21,1289
291,0,2.9621,124.491,126.149,92.9872,-364.167,1292.53
292,0,3.2128,124.444,126.094,92.5106,-364.477,1295.62
293,0,3.47454,124.153,126.074,92.7249,-364.612,1297.48
294,0,3.63499,124.012,125.925,92.8402,-364.988,1298.26
295,0,3.97432,123.73,125.777,93.2213,-365.029,1297.73
296,0,4.32471,123.457,125.67,93.2014,-365.235,1296.22
297,0,4.83954,123.096,125.624,93.4387,-365.196,1293.5
298,0,5.224,122.791,125.559,93.3491,-365.371,1289.68
299,0,5.859,122.413,125.553,93.4133,-365.356,1284.62
300,0,6.1205,122.162,125.465,93.4099,-365.681,1278.36
301,0,6.77889,121.823,125.413,93.4095,-365.797,1270.71
302,0,6.7553,121.708,125.233,93.5427,-366.514,1261.77
303,0,7.16489,121.566,125.17,93.7479,-366.969,1251.9
304,0,7.73743,121.319,125.017,93.7709,-367.271,1240.88
305,0,7.70078,121.501,124.843,94.1287,-368.417,1229.16
306,0,7.35115,121.613,124.631,94.5836,-369.625,1216.74
307,0,7.4532,121.836,124.489,94.8625,-370.727,1204.48
308,0,7.32151,122.082,124.318,95.2687,-371.954,1192.58
309,0,7.15214,122.421,124.138,95.5521,-373.248,1181.52
310,0,7.08173,122.711,123.984,95.8715,-374.332,1171.9
311,0,6.73083,123.056,123.855,96.2001,-375.601,1164.71
312,0,6.37384,123.392,123.767,96.4644,-376.867,1159.62
313,0,5.99565,123.716,123.725,96.6485,-378.04,1157.27
314,0,5.62973,124.016,123.702,96.7993,-379.123,1157.71
315,0,5.09294,124.28,123.819,97.0411,-379.99,1161.08
316,0,4.68846,124.492,123.847,96.9834,-380.894,1166.84
317,0,4.62713,124.645,123.897,96.8778,-381.422,1175.16
318,0,4.91117,124.614,123.899,96.7104,-381.632,1184.92
319,0,4.82481,124.814,123.92,96.305,-382.28,1196.34
320,0,4.72972,124.912,123.925,95.8853,-382.918,1208.17
321,0,5.22539,124.617,123.966,95.7329,-382.787,1220.42
322,0,5.32867,124.924,123.947,94.9924,-383.559,1232.86
323,0,5.23535,125.035,123.912,94.4704,-384.384,1244.32
324,0,6.17381,124.959,123.927,94.1584,-384.618,1255.88
325,0,5.87066,124.461,124.158,93.6185,-384.997,1265.42
