Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
97,0,7.98437,124.827,120.829,-23.8188,207.957,1246.11
98,0,9.61932,123.959,119.861,-25.331,208.636,1245.61
99,0,11.3108,123.099,118.966,-27.387,209.423,1244.23
100,0,13.023,122.225,118.024,-29.4038,210.012,1241.71
101,0,14.6529,121.416,117.102,-31.5866,210.502,1237.64
102,0,16.355,120.522,116.144,-33.8355,210.946,1232.99
103,0,17.8712,119.689,115.17,-35.8439,211.135,1227.16
104,0,19.3898,118.851,114.217,-38.0373,211.303,1220.8
105,0,20.8189,118.068,113.173,-39.9413,211.084,1213.31
106,0,22.1487,117.247,112.181,-41.6517,210.891,1205.66
107,0,23.3081,116.527,111.163,-43.1785,210.395,1197.18
108,0,24.6426,115.789,110.236,-45.2029,210.275,1189.14
109,0,25.6465,115.013,109.347,-46.1777,210.141,1181.35
110,0,26.5651,114.283,108.541,-46.9352,210.031,1174.07
111,0,27.3777,113.615,107.844,-47.4329,210.092,1167.67
112,0,28.0002,112.999,107.3,-47.5056,210.375,1162.27
113,0,28.5071,112.439,106.918,-47.2994,210.902,1158.26
114,0,28.8842,111.967,106.709,-46.8497,211.727,1155.72
115,0,29.116,111.594,106.672,-46.1397,212.778,1154.72
116,0,29.219,111.343,106.791,-45.2744,214.008,1155.27
117,0,29.1928,111.204,107.062,-44.2257,215.414,1157.3
118,0,29.0442,111.192,107.457,-43.0662,216.893,1160.69
119,0,28.7855,111.307,107.955,-41.8279,218.365,1165.28
120,0,28.3736,111.563,108.523,-40.4155,219.712,1170.73
121,0,27.8991,111.929,109.171,-39.0621,221.02,1177.04
122,0,27.3274,112.42,109.865,-37.6854,222.165,1183.89
123,0,26.6582,113.03,110.603,-36.2841,223.132,1191.07
124,0,25.8841,113.754,111.382,-34.8407,223.916,1198.34
125,0,24.971,114.586,112.184,-33.217,224.417,1205.34
126,0,23.9881,115.522,113.055,-31.7838,224.863,1212.33
127,0,22.916,116.522,113.977,-30.2715,225.28,1218.74
128,0,21.6409,117.581,114.932,-28.3671,225.5,1224.2
129,0,20.3557,118.66,115.934,-26.6987,225.771,1229.16
130,0,18.7712,119.801,117.057,-24.6195,226.12,1233.03
131,0,17.1411,120.894,118.194,-22.407,226.495,1236.1
132,0,15.3889,121.96,119.362,-20.0003,226.911,1238.09
133,0,13.5067,123.008,120.551,-17.4222,227.314,1238.7
134,0,11.6527,124.018,121.761,-15.0851,227.855,1238.24
135,0,9.63441,124.961,122.958,-12.315,228.357,1236.57
136,0,7.58287,125.872,124.15,-9.59658,228.804,1233.68
137,0,5.43151,126.723,125.263,-6.53719,229.179,1229.64
138,0,3.26629,127.567,126.32,-3.56723,229.39,1224.34
139,0,1.09662,128.401,127.298,-0.633088,229.424,1217.99
140,0,-1.05608,129.229,128.184,2.23425,229.266,1210.78
