Segments
100
,,Subject1:LowerBack,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
98,0,45.2982,111.825,107.293,-84.254,-585.883,1159.17
99,0,46.3719,111.236,106.94,-86.6179,-582.525,1156.28
100,0,47.6194,110.567,106.451,-89.1401,-579.054,1153.61
101,0,49.0217,109.816,105.819,-91.7522,-575.426,1151.2
102,0,50.5738,108.979,105.043,-94.4486,-571.64,1149.01
103,0,52.2685,108.062,104.122,-97.2626,-567.699,1147.02
104,0,54.0989,107.058,103.067,-100.205,-563.581,1145.18
105,0,56.0479,105.971,101.893,-103.291,-559.267,1143.43
106,0,58.1015,104.806,100.612,-106.563,-554.749,1141.74
107,0,60.2289,103.561,99.2546,-109.986,-549.995,1140.04
108,0,62.403,102.245,97.8438,-113.562,-545.019,1138.31
109,0,64.6012,100.865,96.4041,-117.284,-539.851,1136.52
110,0,66.5156,99.5426,95.0225,-121.078,-534.524,1134.8
111,0,68.5078,98.1541,93.6453,-124.995,-528.956,1132.92
112,0,70.4068,96.7756,92.3116,-128.995,-523.327,1131.09
113,0,72.1927,95.4296,91.0543,-133.099,-517.629,1129.29
114,0,73.8407,94.1403,89.8923,-137.291,-511.857,1127.59
115,0,75.3317,92.9331,88.8301,-141.55,-506.004,1126.01
116,0,76.5397,91.8876,87.9307,-145.884,-499.959,1124.71
117,0,77.3451,91.0907,87.2165,-150.173,-493.784,1123.71
118,0,77.8593,90.5284,86.6537,-154.527,-487.49,1123.04
119,0,78.1895,90.0859,86.2527,-158.771,-480.979,1122.67
120,0,78.5013,89.7608,85.9574,-163.097,-474.424,1122.55
121,0,78.5127,89.7436,85.8501,-167.219,-467.899,1122.69
122,0,78.8266,89.5829,85.8465,-171.797,-461.01,1123.14
123,0,79.0304,89.5681,86.0212,-176.164,-454.205,1123.77
124,0,79.0089,89.7856,86.4098,-180.448,-447.267,1124.71
125,0,78.6773,90.288,87.0591,-184.623,-440.185,1125.95
126,0,78.114,90.9664,87.9102,-188.712,-433.031,1127.42
127,0,77.2801,91.8302,88.9934,-192.704,-425.793,1129.11
128,0,76.1458,92.8798,90.298,-196.604,-418.481,1130.96
129,0,74.7771,94.0638,91.7834,-200.429,-411.141,1132.88
130,0,73.203,95.345,93.4127,-204.176,-403.795,1134.8
131,0,71.4566,96.6829,95.149,-207.859,-396.457,1136.62
132,0,69.5379,98.0644,96.9579,-211.464,-389.147,1138.29
133,0,67.5393,99.4504,98.7813,-215.058,-381.903,1139.74
134,0,65.4614,100.824,100.594,-218.574,-374.761,1140.89
135,0,63.3283,102.168,102.367,-222.013,-367.738,1141.71
136,0,61.1581,103.483,104.071,-225.394,-360.891,1142.19
137,0,58.9701,104.769,105.684,-228.721,-354.272,1142.34
138,0,56.7802,106.026,107.194,-231.969,-347.914,1142.21
139,0,54.6082,107.255,108.583,-235.129,-341.873,1141.84
140,0,52.4717,108.463,109.84,-238.196,-336.195,1141.32
141,0,50.3785,109.656,110.963,-241.141,-330.922,1140.71
142,0,48.3442,110.837,111.944,-243.936,-326.094,1140.11
143,0,46.3717,112.006,112.788,-246.545,-321.718,1139.58
144,0,44.4674,113.163,113.5,-248.937,-317.801,1139.19
145,0,42.6376,114.306,114.086,-251.093,-314.342,1139.01
