Joints
100
,,Subject1:World_Root,,,,,,Subject1:World_Root,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX',RY',RZ',TX',TY',TZ'
,,deg,deg,deg,mm,mm,mm,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s
48,0,30.516,11.5767,-6.27648,16.3424,944.228,-240.448,220.637,27.2728,-10.426,-206.172,-360.388,-160.593
49,0,32.304,11.8511,-6.33222,14.3426,940.478,-241.139,178.803,27.4399,-5.5745,-199.982,-375.05,-69.0937
50,0,34.0867,12.0929,-6.33918,12.4687,936.504,-241.684,178.267,24.1769,-0.695868,-187.393,-397.426,-54.5219
51,0,35.8609,12.306,-6.35897,10.6541,932.339,-242.045,177.424,21.3047,-1.97918,-181.461,-416.476,-36.0414
52,0,37.6341,12.4924,-6.27059,9.11474,927.973,-242.332,177.319,18.6457,8.83788,-153.934,-436.562,-28.6922
53,0,39.3938,12.6372,-6.23185,7.59304,923.496,-242.382,175.967,14.4821,3.87451,-152.17,-447.762,-5.06192
54,0,41.1263,12.7624,-6.20294,6.19095,918.911,-242.218,173.246,12.5196,2.89054,-140.208,-458.431,16.427
55,0,42.8346,12.8341,-6.19012,4.86099,914.267,-241.821,170.833,7.16325,1.28186,-132.996,-464.463,39.6818
56,0,44.5275,12.8666,-6.29797,3.496,909.579,-241.145,169.287,3.24878,-10.785,-136.5,-468.791,67.5902
57,0,46.178,12.8639,-6.35304,2.32142,904.9,-240.26,165.054,-0.26356,-5.50611,-117.457,-467.914,88.5263
58,0,47.8232,12.8202,-6.47808,1.20354,900.19,-239.159,164.517,-4.37328,-12.5041,-111.789,-470.96,110.047
59,0,49.4027,12.7262,-6.62278,0.131069,895.55,-237.777,157.956,-9.39971,-14.4707,-107.247,-463.969,138.201
60,0,50.9804,12.6136,-6.79488,-0.8082,890.926,-236.227,157.766,-11.2612,-17.2096,-93.9269,-462.419,155.018
61,0,52.5412,12.4506,-7.03154,-1.7344,886.354,-234.459,156.078,-16.2929,-23.6656,-92.6196,-457.203,176.865
62,0,54.033,12.2533,-7.23421,-2.49414,881.785,-232.498,149.177,-19.734,-20.2672,-75.9745,-456.893,196.017
63,0,55.5294,12.0348,-7.53493,-3.23075,877.336,-230.358,149.649,-21.8516,-30.072,-73.6611,-444.943,214.07
64,0,56.9684,11.7927,-7.75519,-3.74476,872.867,-228.103,143.892,-24.2071,-22.0266,-51.4004,-446.862,225.447
65,0,58.3842,11.5331,-7.99833,-4.13906,868.48,-225.71,141.585,-25.9572,-24.3139,-39.4308,-438.732,239.329
66,0,59.7773,11.2673,-8.22044,-4.33181,864.148,-223.215,139.309,-26.5842,-22.2104,-19.2743,-433.213,249.52
67,0,61.1286,10.9715,-8.40723,-4.36091,859.847,-220.616,135.13,-29.5817,-18.679,-2.91085,-430.036,259.826
68,0,62.4431,10.6369,-8.57761,-4.23575,855.591,-217.911,131.451,-33.4596,-17.0388,12.5163,-425.619,270.51
69,0,63.7255,10.3161,-8.66962,-3.81351,851.377,-215.171,128.235,-32.0787,-9.20103,42.2237,-421.429,274.043
70,0,64.9686,9.95452,-8.72797,-3.18667,847.198,-212.323,124.311,-36.1583,-5.83469,62.684,-417.918,284.763
71,0,66.1717,9.59255,-8.70605,-2.25216,843.059,-209.438,120.315,-36.1968,2.19232,93.4511,-413.883,288.568
72,0,67.3532,9.17534,-8.66346,-1.14237,838.958,-206.478,118.145,-41.721,4.25854,110.979,-410.074,295.945
73,0,68.5017,8.72615,-8.58188,0.229922,834.907,-203.443,114.857,-44.9191,8.15798,137.229,-405.103,303.532
74,0,69.5494,8.26329,-8.39956,1.93073,830.86,-200.325,104.761,-46.2864,18.2322,170.081,-404.727,311.753
75,0,70.5898,7.74301,-8.20444,3.85283,826.876,-197.167,104.043,-52.0277,19.5124,192.21,-398.35,315.851
76,0,71.5573,7.18561,-7.96824,6.06314,822.927,-193.94,96.7524,-55.7406,23.6196,221.031,-394.893,322.714
77,0,72.4642,6.58657,-7.70591,8.5353,819.015,-190.669,90.6919,-59.9038,26.2329,247.216,-391.245,327.027
78,0,73.292,5.94578,-7.42134,11.2531,815.141,-187.379,82.7778,-64.0784,28.4573,271.777,-387.383,329.018
79,0,74.0379,5.25284,-7.1265,14.2394,811.303,-184.086,74.5904,-69.2947,29.4843,298.634,-383.83,329.316
80,0,74.6973,4.51329,-6.83406,17.4562,807.505,-180.828,65.9366,-73.9545,29.2438,321.675,-379.819,325.777
81,0,75.2679,3.72446,-6.56488,20.8643,803.763,-177.621,57.0574,-78.8828,26.9175,340.815,-374.168,320.731
82,0,75.7491,2.88417,-6.33437,24.4279,800.083,-174.486,48.1276,-84.0289,23.0517,356.361,-367.987,313.467
83,0,76.1572,1.99459,-6.15323,28.1074,796.494,-171.462,40.8097,-88.9589,18.1141,367.949,-358.915,302.446
84,0,76.4797,1.07757,-6.02277,31.894,793.006,-168.556,32.2515,-91.702,13.0452,378.663,-348.794,290.546
85,0,76.7301,0.135646,-5.95153,35.7233,789.661,-165.775,25.0347,-94.192,7.12466,382.929,-334.501,278.126
86,0,76.941,-0.826259,-5.95023,39.5281,786.521,-163.11,21.0882,-96.1905,0.12956,380.481,-314.009,266.54
87,0,77.1227,-1.78703,-6.00946,43.2803,783.635,-160.538,18.1697,-96.077,-5.92276,375.218,-288.618,257.143
88,0,77.2073,-2.67792,-5.89565,47.3288,781.056,-157.898,8.46807,-89.0891,11.3805,404.844,-257.915,264.014
89,0,77.4817,-3.65787,-6.27472,50.4172,778.907,-155.484,27.4335,-97.9954,-37.9064,308.849,-214.815,241.447
90,0,77.6276,-4.4336,-6.25519,54.1314,777.161,-152.818,14.5907,-77.5722,1.95232,371.417,-174.648,266.558
91,0,77.9495,-5.22225,-6.49934,57.1562,776.001,-150.157,32.188,-78.8654,-24.4143,302.479,-116.009,266.099
92,0,78.3313,-5.9655,-6.68309,60.0102,775.379,-147.289,38.1876,-74.3254,-18.3753,285.403,-62.1498,286.794
93,0,78.7565,-6.65102,-6.8996,62.5261,775.346,-144.097,42.5125,-68.5512,-21.6509,251.587,-3.37958,319.244
94,0,79.3524,-7.41132,-7.32318,64.3385,776.05,-140.649,59.5914,-76.0301,-42.3581,181.238,70.4646,344.734
95,0,79.9472,-7.94707,-7.5217,66.1988,777.11,-136.726,59.4848,-53.5757,-19.8516,186.027,105.947,392.328
96,0,80.6474,-8.4555,-7.77216,67.5758,778.706,-132.364,70.0204,-50.8423,-25.046,137.706,159.645,436.23
97,0,81.4302,-8.91706,-8.07207,68.4161,780.716,-127.56,78.2753,-46.1564,-29.9911,84.0329,201.023,480.37
98,0,82.2235,-9.32374,-8.41911,68.7798,782.909,-122.257,79.332,-40.6676,-34.7046,36.364,219.291,530.306
99,0,83.0296,-9.69072,-8.83879,68.5721,785.183,-116.509,80.6126,-36.6983,-41.9678,-20.764,227.38,574.842
100,0,83.829,-9.99679,-9.33924,67.8312,787.368,-110.365,79.9351,-30.6069,-50.0447,-74.093,218.534,614.335
101,0,84.5688,-10.2331,-9.88995,66.59,789.226,-103.9,73.9771,-23.6355,-55.071,-124.122,185.758,646.523
102,0,85.2652,-10.3733,-10.4572,64.9835,790.609,-97.26,69.6481,-14.019,-56.7299,-160.648,138.319,664.007
103,0,85.8343,-10.3955,-11.0203,63.1004,791.265,-90.5092,56.903,-2.21913,-56.3042,-188.315,65.5472,675.08
104,0,86.3044,-10.2902,-11.5263,61.0788,791.087,-83.8423,47.0122,10.5323,-50.5983,-202.158,-17.8039,666.693
105,0,86.6526,-10.0966,-11.8344,59.1842,789.756,-77.2522,34.8217,19.3629,-30.8113,-189.462,-133.067,659.008
106,0,87.0066,-9.74214,-12.1692,57.0715,787.743,-71.185,35.3975,35.4436,-33.4778,-211.264,-201.279,606.72
107,0,87.2561,-9.27518,-12.3482,55.1501,784.715,-65.6437,24.9527,46.6961,-17.9074,-192.139,-302.809,554.134
108,0,87.4026,-8.7178,-12.4005,53.3741,780.68,-60.668,14.6528,55.7374,-5.2286,-177.599,-403.488,497.568
109,0,87.4722,-8.12142,-12.3046,51.7546,775.674,-56.3135,6.95382,59.6381,9.5889,-161.95,-500.578,435.45
110,0,87.4585,-7.49776,-12.112,50.2444,769.729,-52.5612,-1.36399,62.3662,19.2585,-151.025,-594.515,375.232
111,0,87.3688,-6.87674,-11.8241,48.8379,762.873,-49.3832,-8.96872,62.1021,28.7994,-140.652,-685.585,317.801
112,0,87.2071,-6.27842,-11.4645,47.4959,755.152,-46.7376,-16.1766,59.8316,35.9568,-134.2,-772.119,264.552
113,0,86.977,-5.72238,-11.0497,46.1838,746.602,-44.5705,-23.0109,55.6042,41.4762,-131.21,-855.064,216.714
114,0,86.6926,-5.22084,-10.5944,44.8776,737.288,-42.8237,-28.4389,50.1539,45.5306,-130.613,-931.364,174.678
115,0,86.3786,-4.77951,-10.0965,43.5776,727.265,-41.4646,-31.3943,44.1333,49.7963,-130.007,-1002.33,135.91
116,0,86.0136,-4.39292,-9.60155,42.2339,716.547,-40.3823,-36.4998,38.659,49.4906,-134.372,-1071.76,108.228
117,0,85.6265,-4.06052,-9.10552,40.8533,705.207,-39.557,-38.7169,33.2395,49.6028,-138.057,-1134.05,82.5349
118,0,85.2319,-3.77049,-8.60935,39.4492,693.299,-38.9645,-39.4525,29.0035,49.6171,-140.407,-1190.75,59.2507
119,0,84.8213,-3.52432,-8.13076,38.0144,680.844,-38.5424,-41.0672,24.617,47.8592,-143.48,-1245.52,42.2038
