Joints
100
,,Subject1:World_Root,,,,,,Subject1:World_Root,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX',RY',RZ',TX',TY',TZ'
,,deg,deg,deg,mm,mm,mm,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s
47,0,-3.47349,-4.33134,4.27578,-70.0393,1038.24,272.888,16.9057,-20.1552,12.128,144.009,991.595,-146.449
48,0,-3.37777,-4.56069,4.33308,-68.3749,1048.15,271.521,9.57217,-22.9355,5.73014,166.439,991.249,-136.718
49,0,-3.36591,-4.82927,4.2652,-66.679,1057.67,270.313,1.18542,-26.8579,-6.78853,169.598,952.029,-120.807
50,0,-3.44071,-5.14545,4.08616,-64.975,1066.48,269.312,-7.47974,-31.6176,-17.9035,170.4,880.921,-100.023
51,0,-3.58888,-5.52251,3.77918,-63.3336,1074.27,268.519,-14.817,-37.7058,-30.6985,164.137,779.068,-79.298
52,0,-3.80034,-5.97138,3.34729,-61.7778,1080.78,267.929,-21.1461,-44.8877,-43.1885,155.576,651.324,-58.9997
53,0,-4.06195,-6.49978,2.79893,-60.313,1085.8,267.525,-26.1611,-52.8395,-54.836,146.486,501.788,-40.4388
54,0,-4.35945,-7.10854,2.14379,-58.9342,1089.15,267.283,-29.7496,-60.8763,-65.5139,137.878,335.073,-24.1697
55,0,-4.67052,-7.79133,1.39429,-57.6274,1090.71,267.164,-31.1071,-68.279,-74.9503,130.678,155.699,-11.909
56,0,-4.97684,-8.53173,0.560528,-56.3796,1090.4,267.131,-30.6319,-74.0398,-83.3761,124.78,-30.5772,-3.33488
57,0,-5.25851,-9.30567,-0.34389,-55.1765,1088.22,267.14,-28.1671,-77.3939,-90.4417,120.311,-217.843,0.956655
58,0,-5.48671,-10.0774,-1.29529,-53.9856,1084.23,267.147,-22.8198,-77.1687,-95.1397,119.088,-399.172,0.658631
59,0,-5.65098,-10.811,-2.2655,-52.7902,1078.56,267.133,-16.4278,-73.3613,-97.0209,119.546,-567.305,-1.41263
60,0,-5.73755,-11.4683,-3.21137,-51.5594,1071.41,267.096,-8.65654,-65.7303,-94.587,123.078,-715.303,-3.70741
61,0,-5.74303,-12.0118,-4.08817,-50.2736,1063.04,267.065,-0.547568,-54.3518,-87.6808,128.577,-836.265,-3.1203
62,0,-5.68221,-12.4093,-4.86518,-48.9426,1053.81,267.102,6.08156,-39.7537,-77.7008,133.098,-923.693,3.73423
63,0,-5.57296,-12.6369,-5.52807,-47.6048,1044.08,267.268,10.9253,-22.7619,-66.2883,133.784,-972.95,16.6476
64,0,-5.43585,-12.6853,-6.08464,-46.3272,1034.27,267.605,13.7105,-4.83261,-55.657,127.761,-980.294,33.7005
65,0,-5.28791,-12.5651,-6.5592,-45.1888,1024.83,268.115,14.7944,12.0199,-47.456,113.834,-944.006,50.9143
66,0,-5.13762,-12.31,-6.98251,-44.2599,1016.19,268.748,15.0289,25.5069,-42.3313,92.8964,-864.613,63.3776
67,0,-4.98235,-11.9675,-7.37946,-43.5706,1008.73,269.412,15.5268,34.2505,-39.6957,68.9257,-745.499,66.331
68,0,-4.80637,-11.6002,-7.75679,-43.1195,1002.8,269.969,17.5981,36.7324,-37.7324,45.1077,-593.388,55.7572
69,0,-4.58548,-11.2232,-7.88737,-42.009,998.61,270.49,22.089,37.6945,-13.0582,111.058,-418.907,52.0229
70,0,-4.21723,-10.8442,-8.32612,-42.3299,996.381,270.027,36.8253,37.9027,-43.8749,-32.093,-222.892,-46.2145
71,0,-3.89682,-10.6109,-8.49177,-42.1231,996.236,269.576,32.0408,23.333,-16.5654,20.6847,-14.5495,-45.1535
72,0,-3.45967,-10.4371,-8.74953,-42.5251,998.135,268.346,43.7152,17.3754,-25.7753,-40.2059,189.912,-122.941
73,0,-3.02618,-10.3251,-8.76437,-42.5951,1002,266.894,43.3483,11.2033,-1.4842,-6.99796,386.22,-145.221
74,0,-2.61962,-10.2252,-8.86113,-43.1848,1007.69,265.032,40.6569,9.98744,-9.67659,-58.974,568.974,-186.19
75,0,-2.2972,-10.0181,-8.7021,-43.278,1014.85,263.387,32.2419,20.7124,15.9038,-9.31658,716.221,-164.557
76,0,-2.0977,-9.82839,-8.47125,-43.8404,1023.28,261.77,19.95,18.9702,23.085,-56.2415,843.346,-161.654
77,0,-2.07551,-9.5606,-8.17534,-44.7379,1032.65,260.446,2.21885,26.7787,29.5903,-89.7489,936.735,-132.433
78,0,-2.17138,-9.17527,-7.71562,-45.7977,1042.49,259.416,-9.58764,38.5329,45.9719,-105.982,984.001,-103.024
79,0,-2.3963,-8.61644,-7.11652,-46.9829,1052.45,258.711,-22.4916,55.8829,59.9101,-118.522,995.553,-70.4646
80,0,-2.70997,-7.87634,-6.37458,-48.2444,1062.08,258.257,-31.3673,74.0099,74.1947,-126.148,963.843,-45.4158
81,0,-3.0323,-6.93421,-5.50398,-49.5173,1070.97,257.918,-32.233,94.2135,87.0595,-127.291,888.646,-33.927
82,0,-3.35768,-5.79109,-4.58609,-50.842,1078.74,257.658,-32.5373,114.311,91.7896,-132.466,776.684,-25.937
83,0,-3.66865,-4.46427,-3.69142,-52.2502,1085.04,257.457,-31.0969,132.682,89.4661,-140.824,629.89,-20.1493
84,0,-3.9806,-2.98276,-2.88742,-53.7786,1089.59,257.369,-31.1952,148.151,80.4007,-152.831,455.225,-8.76486
85,0,-4.25946,-1.40092,-2.19786,-55.4258,1092.16,257.406,-27.886,158.185,68.956,-164.726,257.444,3.68357
86,0,-4.53946,0.228416,-1.63527,-57.1738,1092.66,257.675,-28.0001,162.933,56.2584,-174.802,50.211,26.9324
87,0,-4.83426,1.84384,-1.1828,-58.9904,1091.08,258.235,-29.4803,161.542,45.2477,-181.654,-158.441,56.0254
88,0,-5.15287,3.38997,-0.814464,-60.839,1087.48,259.112,-31.8605,154.613,36.8333,-184.858,-360.107,87.6635
89,0,-5.5,4.81322,-0.504578,-62.6861,1082.01,260.305,-34.7132,142.325,30.9886,-184.718,-546.598,119.308
90,0,-5.87866,6.06716,-0.230004,-64.5007,1074.91,261.796,-37.8661,125.394,27.4574,-181.458,-710.607,149.089
91,0,-6.28008,7.10514,0.0259635,-66.2832,1066.45,263.54,-40.1424,103.797,25.5968,-178.245,-846.136,174.421
92,0,-6.69474,7.89358,0.279337,-68.0147,1056.98,265.486,-41.466,78.8445,25.3374,-173.151,-947.058,194.597
93,0,-7.11654,8.41326,0.550702,-69.6394,1046.89,267.576,-42.1801,51.9678,27.1364,-162.469,-1008.31,209.007
94,0,-7.52958,8.65084,0.858666,-71.1104,1036.63,269.728,-41.304,23.758,30.7964,-147.103,-1026.63,215.152
95,0,-7.91673,8.61072,1.22428,-72.3456,1026.63,271.842,-38.7144,-4.01222,36.5615,-123.523,-999.391,211.462
96,0,-8.26295,8.31474,1.66841,-73.2358,1017.37,273.806,-34.6219,-29.5976,44.4128,-89.0195,-925.97,196.391
97,0,-8.54467,7.80711,2.19276,-73.7152,1009.29,275.499,-28.1721,-50.7631,52.4346,-47.937,-808.251,169.238
98,0,-8.89219,7.30332,2.61454,-74.3624,1002.94,277.174,-34.7527,-50.3794,42.1785,-64.7195,-635.111,167.528
99,0,-8.96473,6.45561,3.36378,-73.9133,998.239,277.9,-7.25332,-84.7708,74.924,44.9061,-469.953,72.6253
100,0,-9.04152,5.66351,3.87674,-73.8412,995.806,278.351,-7.67893,-79.2094,51.2957,7.20993,-243.336,45.0402
101,0,-8.98057,4.88696,4.44776,-73.3645,995.514,278.101,6.09475,-77.6551,57.1022,47.6755,-29.2182,-24.9445
102,0,-8.84413,4.19192,4.82558,-73.1319,997.478,277.271,13.6443,-69.5046,37.782,23.2562,196.427,-83.0471
103,0,-8.57628,3.57841,5.15773,-72.6415,1001.48,275.728,26.7845,-61.3508,33.215,49.036,399.75,-154.248
104,0,-8.25137,3.08036,5.3389,-72.1737,1007.36,273.672,32.4907,-49.8047,18.1175,46.7815,588.644,-205.672
105,0,-7.8336,2.69749,5.44135,-71.4482,1014.77,271.144,41.7774,-38.2868,10.2442,72.5508,740.576,-252.777
106,0,-7.45083,2.47302,5.49534,-70.4396,1023.39,268.574,38.2766,-22.447,5.39931,100.859,861.895,-256.959
107,0,-7.05086,2.36072,5.49928,-68.9287,1032.85,265.78,39.9978,-11.2308,0.39376,151.093,946.832,-279.447
108,0,-6.66526,2.34724,5.44599,-67.0954,1042.73,262.988,38.5598,-1.34772,-5.32904,183.327,987.613,-279.132
109,0,-6.3053,2.40078,5.26891,-65.1576,1052.61,260.298,35.996,5.35423,-17.7075,193.787,987.601,-269.046
110,0,-5.98323,2.49076,4.96479,-63.1998,1062.15,257.8,32.2067,8.99769,-30.4117,195.781,954.64,-249.749
111,0,-5.69829,2.56161,4.52129,-61.3238,1071.04,255.534,28.4936,7.08528,-44.3502,187.598,889.063,-226.676
112,0,-5.44486,2.56259,3.94946,-59.5664,1078.98,253.518,25.3435,0.0982053,-57.1836,175.736,793.862,-201.589
113,0,-5.218,2.44547,3.27308,-57.9349,1085.7,251.764,22.6863,-11.7122,-67.6378,163.147,671.566,-175.372
114,0,-5.01622,2.17431,2.5184,-56.4232,1090.95,250.283,20.1779,-27.1161,-75.4681,151.171,524.867,-148.153
115,0,-4.84313,1.73166,1.70766,-55.0216,1094.52,249.084,17.309,-44.2655,-81.0741,140.164,357.306,-119.904
116,0,-4.6977,1.12109,0.848989,-53.7324,1096.25,248.161,14.5427,-61.0562,-85.8666,128.92,172.877,-92.2531
117,0,-4.58223,0.368248,-0.0548743,-52.5588,1096.02,247.497,11.5473,-75.2844,-90.3863,117.358,-22.5782,-66.4011
118,0,-4.49,-0.481613,-1.00879,-51.5097,1093.8,247.041,9.2228,-84.9862,-95.3911,104.913,-222.754,-45.5931
119,0,-4.40542,-1.36665,-2.01314,-50.5844,1089.6,246.716,8.45838,-88.5033,-100.435,92.5265,-419.474,-32.489
120,0,-4.30815,-2.22178,-3.05128,-49.7619,1083.56,246.429,9.72687,-85.5136,-103.815,82.254,-604.546,-28.6832
121,0,-4.17947,-2.9855,-4.0818,-48.9949,1075.87,246.105,12.8675,-76.3713,-103.051,76.6926,-768.387,-32.4056
122,0,-4.01082,-3.6081,-5.04388,-48.2148,1066.84,245.714,16.8654,-62.26,-96.208,78.0147,-902.653,-39.1304
123,0,-3.80728,-4.05456,-5.87491,-47.3559,1056.84,245.282,20.3536,-44.646,-83.1034,85.8892,-1000.8,-43.194
124,0,-3.58437,-4.30431,-6.52926,-46.3779,1046.25,244.874,22.2915,-24.9757,-65.4348,97.7967,-1058.54,-40.8307
125,0,-3.36114,-4.35059,-6.98689,-45.2735,1035.52,244.562,22.3223,-4.62741,-45.7633,110.439,-1073.42,-31.1971
126,0,-3.30611,-4.31968,-6.83363,-43.0487,1025.2,244.917,5.50306,3.09049,15.3266,222.487,-1031.3,35.5124
127,0,-3.04704,-3.92976,-7.00773,-41.919,1015.46,244.667,25.9072,38.992,-17.4106,112.971,-974.75,-25.0131
128,0,-2.88667,-3.47619,-6.95984,-40.5222,1006.88,244.739,16.0366,45.3569,4.78907,139.672,-857.413,7.26581
129,0,-2.71608,-2.95186,-6.80788,-39.1876,999.528,244.695,17.0593,52.4338,15.1959,133.464,-735.438,-4.47631
130,0,-2.54895,-2.45186,-6.72262,-37.6355,994.475,244.643,16.7127,49.9998,8.52634,155.208,-505.28,-5.14537
131,0,-2.36496,-1.97873,-6.57136,-36.8083,991.102,244.16,18.3996,47.3123,15.1256,82.7216,-337.303,-48.3319
132,0,-2.07531,-1.6312,-6.57224,-36.0382,990.278,243.197,28.9646,34.7534,-0.0881948,77.0114,-82.4332,-96.3077
133,0,-1.78251,-1.47781,-6.59077,-35.665,991.459,241.823,29.2804,15.3389,-1.85226,37.3229,118.059,-137.356
134,0,-1.50361,-1.50352,-6.44874,-35.0045,994.852,240.21,27.8899,-2.57064,14.2024,66.0449,339.293,-161.305
135,0,-1.17241,-1.69581,-6.54608,-35.137,1000.14,238.145,33.1196,-19.2289,-9.73349,-13.2442,528.651,-206.518
136,0,-0.988418,-2.06027,-6.53912,-35.1717,1007.27,236.228,18.3995,-36.4464,0.695826,-3.47421,713.515,-191.684
137,0,-0.948213,-2.49178,-6.64422,-35.471,1015.8,234.663,4.02046,-43.1509,-10.5097,-29.9335,853.05,-156.54
138,0,-0.988666,-3.00206,-6.72741,-36.3736,1025.38,233.222,-4.04531,-51.0277,-8.31904,-90.2578,957.441,-144.096
139,0,-1.14731,-3.47711,-6.76131,-37.5434,1035.58,232.122,-15.8649,-47.5057,-3.39038,-116.976,1019.8,-109.953
140,0,-1.39113,-3.83929,-6.67,-38.7507,1045.95,231.369,-24.381,-36.2176,9.13154,-120.737,1037.5,-75.3179
141,0,-1.68596,-4.05195,-6.41431,-39.8675,1056.09,230.926,-29.4839,-21.2657,25.5685,-111.675,1013.73,-44.2728
142,0,-2.00705,-4.0896,-5.99449,-40.8171,1065.62,230.741,-32.1088,-3.76523,41.9817,-94.9636,952.995,-18.4953
143,0,-2.28746,-3.90469,-5.49692,-41.6701,1074.18,230.682,-28.0405,18.4912,49.7573,-85.2961,855.684,-5.93811
144,0,-2.60146,-3.55347,-4.84175,-42.2057,1081.54,230.855,-31.4006,35.1219,65.5171,-53.5615,735.962,17.3122
145,0,-2.883,-3.04288,-4.08052,-42.4691,1087.39,231.125,-28.1533,51.0588,76.123,-26.343,585.33,26.9756
146,0,-3.19073,-2.3278,-3.46191,-42.8545,1091.6,231.596,-30.7732,71.5077,61.8607,-38.5374,421.178,47.0653
147,0,-3.48577,-1.53623,-2.7684,-42.9584,1093.94,232.191,-29.5045,79.157,69.3509,-10.3869,234.02,59.5018
148,0,-3.832,-0.615414,-2.23696,-43.2064,1094.43,233.069,-34.6228,92.0818,53.1447,-24.7985,48.8997,87.8662
149,0,-4.18623,0.287664,-1.64654,-43.2284,1092.94,234.106,-35.4232,90.3077,59.042,-2.20612,-148.594,103.717
150,0,-4.59971,1.19881,-1.14266,-43.3205,1089.62,235.428,-41.3482,91.115,50.388,-9.20445,-332.749,132.129
151,0,-5.05364,2.04495,-0.662066,-43.4109,1084.52,236.975,-45.3922,84.6132,48.0592,-9.04799,-509.977,154.729
152,0,-5.52714,2.77916,-0.196996,-43.5258,1077.79,238.698,-47.3503,73.4214,46.507,-11.4873,-672.865,172.307
153,0,-6.02904,3.35655,0.260007,-43.6831,1069.66,240.595,-50.1903,57.7393,45.7003,-15.7259,-812.447,189.714
154,0,-6.52025,3.74652,0.699352,-43.9242,1060.38,242.594,-49.1211,38.9973,43.9345,-24.1168,-927.949,199.893
155,0,-7.0389,3.96928,1.10484,-44.2772,1050.29,244.796,-51.8652,22.2752,40.5485,-35.2915,-1009.76,220.174
156,0,-7.44128,3.88324,1.53723,-44.6829,1039.68,246.82,-40.2372,-8.60352,43.2395,-40.5718,-1060.93,202.383
157,0,-7.84464,3.62338,1.90184,-45.2443,1029.03,248.98,-40.3365,-25.986,36.4613,-56.1424,-1064.97,215.992
