Joints
100
,,Subject1:World_Root,,,,,,Subject1:World_Root,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX',RY',RZ',TX',TY',TZ'
,,deg,deg,deg,mm,mm,mm,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s
48,0,3.37626,-41.9309,6.50493,122.049,978.062,-111.865,34.0365,-50.11,22.1308,336.086,175.011,149.575
49,0,3.75098,-42.4333,6.72636,125.394,979.628,-110.322,37.4721,-50.248,22.1428,334.526,156.629,154.331
50,0,4.13223,-42.9297,6.92254,128.712,980.962,-108.726,38.1249,-49.6312,19.6177,331.77,133.353,159.522
51,0,4.51845,-43.4244,7.09342,132.021,982.024,-107.085,38.6221,-49.4748,17.0886,330.953,106.263,164.147
52,0,4.8997,-43.915,7.23322,135.334,982.793,-105.397,38.1253,-49.0633,13.98,331.247,76.8423,168.749
53,0,5.26572,-44.398,7.33691,138.663,983.256,-103.656,36.6019,-48.2973,10.369,332.904,46.3128,174.177
54,0,5.60639,-44.875,7.40014,142.017,983.412,-101.856,34.0674,-47.7003,6.32296,335.403,15.5687,180.004
55,0,5.91258,-45.3452,7.42019,145.407,983.267,-99.9876,30.6187,-47.0183,2.00492,338.975,-14.472,186.802
56,0,6.1765,-45.8092,7.39593,148.841,982.835,-98.0408,26.3919,-46.3968,-2.42591,343.435,-43.1955,194.673
57,0,6.39287,-46.2681,7.32886,152.33,982.134,-96.004,21.6375,-45.8948,-6.70776,348.87,-70.1249,203.685
58,0,6.55612,-46.7231,7.22017,155.878,981.185,-93.8619,16.3246,-45.4959,-10.8684,354.818,-94.8131,214.212
59,0,6.52788,-47.2386,7.12555,159.572,980.203,-91.1823,-2.82369,-51.5522,-9.46216,369.386,-98.2761,267.952
60,0,6.62846,-47.6775,6.86903,163.151,978.714,-89.0366,10.0574,-43.8898,-25.6525,357.954,-148.857,214.578
61,0,6.60568,-48.1395,6.71499,167.01,977.231,-86.3799,-2.27761,-46.2038,-15.4037,385.931,-148.338,265.665
62,0,6.5389,-48.5947,6.42567,170.796,975.5,-83.7823,-6.67805,-45.515,-28.9317,378.509,-173.116,259.759
63,0,6.42802,-49.0519,6.22015,174.818,973.753,-80.8792,-11.0875,-45.7209,-20.5525,402.275,-174.659,290.313
64,0,6.31816,-49.5055,5.97581,178.891,971.862,-77.9462,-10.9868,-45.3559,-24.4341,407.243,-189.084,293.295
65,0,6.11293,-49.9612,5.74587,183.118,970.017,-74.7102,-20.5225,-45.5707,-22.9937,422.7,-184.554,323.6
66,0,5.90083,-50.4093,5.48501,187.413,968.129,-71.4148,-21.2102,-44.8118,-26.0857,429.53,-188.798,329.545
67,0,5.65203,-50.8541,5.27484,191.907,966.347,-67.8631,-24.8796,-44.484,-21.0167,449.437,-178.212,355.166
68,0,5.3922,-51.2897,5.03794,196.491,964.624,-64.2354,-25.9833,-43.5561,-23.6907,458.327,-172.24,362.768
69,0,5.09351,-51.7207,4.82502,201.251,963.074,-60.3917,-29.8693,-43.0995,-21.292,476,-154.972,384.378
70,0,4.85935,-52.1395,4.66035,206.195,961.661,-56.4996,-23.4155,-41.8776,-16.4667,494.383,-141.352,389.203
71,0,4.59881,-52.5548,4.50619,211.307,960.467,-52.4447,-26.0543,-41.5378,-15.4165,511.216,-119.382,405.489
72,0,4.36155,-52.9638,4.36439,216.572,959.472,-48.3301,-23.7256,-40.8995,-14.1793,526.544,-99.5457,411.466
73,0,4.17866,-53.3713,4.28764,222.048,958.698,-44.1392,-18.2891,-40.7441,-7.67517,547.58,-77.3549,419.084
74,0,4.07427,-53.7827,4.27031,227.637,958.126,-39.9477,-10.4387,-41.144,-1.73342,558.868,-57.1847,419.155
75,0,3.986,-54.2029,4.27646,233.434,957.753,-35.6998,-8.82734,-42.0156,0.615827,579.713,-37.3304,424.787
76,0,3.98452,-54.6341,4.36428,239.382,957.532,-31.451,-0.148002,-43.1217,8.78183,594.802,-22.1372,424.883
77,0,3.99048,-55.0836,4.46078,245.419,957.468,-27.2193,0.596361,-44.9474,9.64991,603.75,-6.31809,423.169
78,0,4.13205,-55.5584,4.688,251.566,957.464,-23.0433,14.1571,-47.4811,22.7214,614.668,-0.399351,417.604
79,0,4.28295,-56.05,4.92384,257.763,957.578,-18.9383,15.0894,-49.1654,23.5845,619.671,11.3189,410.493
80,0,4.53104,-56.5761,5.24812,263.931,957.709,-14.9287,24.8087,-52.6082,32.4273,616.843,13.1667,400.959
81,0,4.82471,-57.1302,5.61774,270.082,957.854,-11.0641,29.3678,-55.4123,36.9627,615.126,14.5078,386.462
82,0,5.16401,-57.7145,6.00559,276.104,957.99,-7.4005,33.9296,-58.4302,38.7848,602.21,13.6077,366.362
83,0,5.47625,-58.3236,6.34213,281.959,958.159,-3.96032,31.2243,-60.9082,33.6537,585.487,16.8264,344.017
84,0,5.82991,-58.9584,6.68378,287.593,958.296,-0.768218,35.3655,-63.4825,34.1649,563.389,13.7806,319.21
85,0,6.11976,-59.6108,6.93629,293.018,958.466,2.16241,28.9855,-65.2413,25.2513,542.483,16.9456,293.062
86,0,6.42792,-60.2767,7.18146,298.189,958.583,4.84501,30.8151,-66.5875,24.517,517.118,11.754,268.261
87,0,6.65237,-60.9414,7.34376,303.158,958.712,7.30717,22.4452,-66.4632,16.23,496.882,12.8925,246.215
88,0,6.89075,-61.6026,7.53095,307.877,958.742,9.58509,23.8383,-66.1292,18.7189,471.875,3.01003,227.793
89,0,7.05147,-62.2324,7.67831,312.389,958.743,11.7286,16.072,-62.973,14.7363,451.183,0.0476837,214.353
90,0,7.09269,-62.8344,7.72281,316.576,958.666,13.6986,4.12206,-60.1979,4.44953,418.708,-7.74264,196.999
91,0,7.11313,-63.3892,7.79355,320.483,958.455,15.548,2.04402,-55.4871,7.07488,390.723,-21.0345,184.938
92,0,6.93323,-63.881,7.69475,324.051,958.232,17.2732,-17.9901,-49.1726,-9.88064,356.779,-22.2981,172.516
93,0,6.7352,-64.3088,7.59716,327.262,957.866,18.8678,-19.8032,-42.7884,-9.75838,321.147,-36.633,159.462
94,0,6.33505,-64.6658,7.32409,330.155,957.458,20.3345,-40.0143,-35.6939,-27.3074,289.282,-40.7457,146.667
95,0,5.92601,-64.9502,7.03908,332.702,957.017,21.6608,-40.9042,-28.4457,-28.5007,254.738,-44.1492,132.631
96,0,5.47645,-65.1773,6.75013,334.984,956.479,22.8807,-44.9561,-22.7056,-28.8948,228.205,-53.7515,121.991
97,0,4.94521,-65.3496,6.41972,336.956,955.893,24.0307,-53.1241,-17.2298,-33.0413,197.163,-58.6271,115.005
98,0,4.3634,-65.4619,6.04994,338.753,955.346,25.033,-58.1814,-11.2363,-36.9778,179.696,-54.7171,100.224
99,0,3.90761,-65.532,5.82951,340.385,954.769,25.9165,-45.5792,-7.00777,-22.0431,163.168,-57.6735,88.3572
100,0,3.34279,-65.5647,5.55424,341.786,954.231,26.7555,-56.4811,-3.26278,-27.5267,140.148,-53.8647,83.893
101,0,2.80462,-65.5699,5.33882,343.145,953.848,27.4722,-53.8177,-0.525925,-21.5421,135.89,-38.2364,71.6733
102,0,2.51606,-65.6086,5.34417,344.359,953.593,28.0333,-28.8559,-3.87135,0.534761,121.43,-25.5227,56.1064
103,0,2.15667,-65.6212,5.34941,345.618,953.533,28.5224,-35.9393,-1.26085,0.523363,125.891,-6.00219,48.9173
