Joints
100
,,Subject1:World_Root,,,,,,Subject1:World_Root,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX',RY',RZ',TX',TY',TZ'
,,deg,deg,deg,mm,mm,mm,deg/s,deg/s,deg/s,mm/s,mm/s,mm/s
46,0,-2.24109,-21.0937,-1.32299,111.97,972.501,-224.097,-10.0021,-79.2172,8.13215,5.30183,-127.25,-439.535
47,0,-2.35276,-21.8915,-1.239,112.2,971.308,-228.347,-11.1669,-79.7816,8.39937,22.9575,-119.215,-424.96
48,0,-2.4485,-22.6991,-1.13908,112.632,970.236,-232.462,-9.574,-80.768,9.99169,43.188,-107.282,-411.475
49,0,-2.55458,-23.5129,-1.03727,113.252,969.327,-236.378,-10.6075,-81.3793,10.1813,62.0164,-90.8613,-391.604
50,0,-2.64289,-24.331,-0.91827,114.081,968.616,-240.106,-8.83154,-81.8038,11.8996,82.9294,-71.1143,-372.821
51,0,-2.72102,-25.1531,-0.78291,115.117,968.137,-243.608,-7.81267,-82.2124,13.536,103.54,-47.9102,-350.192
52,0,-2.78873,-25.9749,-0.643083,116.329,967.909,-246.877,-6.77141,-82.1766,13.9827,121.239,-22.7332,-326.943
53,0,-2.83033,-26.7965,-0.483849,117.729,967.949,-249.911,-4.1595,-82.1675,15.9234,140,3.94583,-303.37
54,0,-2.84706,-27.6144,-0.30783,119.309,968.255,-252.697,-1.6731,-81.7905,17.6019,157.987,30.5891,-278.6
55,0,-2.83086,-28.4299,-0.113093,121.051,968.818,-255.242,1.61957,-81.5415,19.4737,174.215,56.3502,-254.494
56,0,-2.77633,-29.2439,0.101857,122.94,969.619,-257.554,5.45299,-81.408,21.495,188.932,80.055,-231.168
57,0,-2.67871,-30.0589,0.338733,124.961,970.627,-259.641,9.76213,-81.4927,23.6876,202.014,100.857,-208.709
58,0,-2.53469,-30.8787,0.59774,127.098,971.801,-261.523,14.4017,-81.9804,25.9007,213.725,117.379,-188.199
59,0,-2.34166,-31.7073,0.880186,129.334,973.097,-263.214,19.3032,-82.8666,28.2445,223.602,129.551,-169.149
60,0,-2.09843,-32.5492,1.18579,131.652,974.464,-264.737,24.323,-84.1886,30.5608,231.776,136.721,-152.254
61,0,-1.80254,-33.4094,1.5139,134.042,975.851,-266.113,29.5895,-86.0133,32.811,239.024,138.664,-137.648
62,0,-1.45729,-34.2903,1.8628,136.484,977.207,-267.366,34.5242,-88.0937,34.8893,244.19,135.642,-125.31
63,0,-1.06465,-35.1942,2.22972,138.964,978.486,-268.52,39.2642,-90.3873,36.6919,248.013,127.929,-115.415
64,0,-0.627928,-36.1217,2.61086,141.472,979.649,-269.598,43.6724,-92.7567,38.1145,250.825,116.271,-107.798
65,0,-0.152859,-37.0716,3.00223,143.995,980.663,-270.622,47.5069,-94.9864,39.137,252.306,101.364,-102.359
66,0,0.358509,-38.0408,3.40062,146.523,981.503,-271.618,51.1368,-96.9211,39.8392,252.771,84.0604,-99.6232
67,0,0.884316,-39.0254,3.79704,149.042,982.162,-272.582,52.5807,-98.4606,39.6415,251.912,65.8393,-96.4046
68,0,1.43261,-40.0193,4.1923,151.548,982.631,-273.552,54.8293,-99.3844,39.5266,250.623,46.8969,-97.0066
69,0,1.99206,-41.0168,4.58155,154.031,982.916,-274.536,55.945,-99.759,38.9248,248.307,28.5327,-98.3685
70,0,2.53838,-42.0108,4.95603,156.483,983.035,-275.514,54.632,-99.3929,37.4475,245.17,11.903,-97.8202
71,0,3.08197,-42.9948,5.31856,158.895,983.002,-276.523,54.3595,-98.4066,36.2535,241.189,-3.31402,-100.863
72,0,3.60945,-43.9614,5.66291,161.261,982.841,-277.552,52.7476,-96.6578,34.4348,236.599,-16.0933,-102.952
73,0,4.1106,-44.9044,5.98565,163.571,982.578,-278.596,50.1151,-94.2935,32.2744,230.986,-26.238,-104.383
74,0,4.56158,-45.8178,6.27781,165.814,982.244,-279.623,45.0977,-91.3483,29.216,224.322,-33.474,-102.711
75,0,4.98954,-46.6971,6.54551,167.979,981.852,-280.683,42.7962,-87.9267,26.7693,216.518,-39.1424,-106.001
76,0,5.37242,-47.5215,6.75638,170.032,981.381,-281.842,38.2875,-82.4349,21.0871,205.234,-47.1115,-115.865
77,0,5.55974,-48.214,6.84136,171.765,980.973,-282.744,18.7324,-69.2533,8.49816,173.36,-40.853,-90.1639
78,0,5.77774,-48.9602,6.94425,173.537,980.545,-283.725,21.7996,-74.6253,10.2886,177.151,-42.7365,-98.1689
79,0,6.00077,-49.6915,7.0557,175.223,980.136,-284.726,22.3033,-73.1243,11.1458,168.626,-40.9424,-100.106
80,0,6.22472,-50.3892,7.17041,176.803,979.731,-285.731,22.3947,-69.768,11.4702,157.973,-40.5133,-100.487
81,0,6.78642,-51.1564,7.571,178.6,979.271,-286.928,56.1699,-76.7239,40.0598,179.769,-45.9671,-119.668
82,0,6.92121,-51.7087,7.62902,179.752,978.943,-287.829,13.4791,-55.2313,5.8019,115.168,-32.8004,-90.155
83,0,7.07006,-52.299,7.69477,180.833,978.596,-288.748,14.8849,-59.0303,6.57483,108.068,-34.6839,-91.8716
84,0,7.22306,-52.8829,7.76883,181.757,978.27,-289.648,15.3008,-58.392,7.40589,92.4319,-32.6753,-89.9851
85,0,7.38244,-53.4523,7.85281,182.514,977.952,-290.527,15.9373,-56.9378,8.39772,75.7307,-31.7097,-87.8781
86,0,7.54763,-54.0083,7.94835,183.099,977.654,-291.384,16.5188,-55.595,9.55433,58.4394,-29.8142,-85.7562
87,0,7.71994,-54.5521,8.05601,183.513,977.376,-292.214,17.2311,-54.3792,10.7663,41.382,-27.8115,-82.9726
88,0,7.89924,-55.0853,8.17661,183.759,977.127,-293.02,17.9303,-53.3219,12.0596,24.651,-24.879,-80.6212
89,0,8.08538,-55.6095,8.31032,183.847,976.917,-293.804,18.6137,-52.4227,13.3712,8.74996,-21.0106,-78.3771
90,0,8.27597,-56.1244,8.45612,183.782,976.759,-294.566,19.0597,-51.4921,14.5799,-6.47306,-15.7833,-76.1628
91,0,8.46858,-56.6305,8.61242,183.575,976.667,-295.306,19.2604,-50.6049,15.6294,-20.726,-9.27448,-74.0618
92,0,8.65919,-57.1285,8.77665,183.237,976.655,-296.025,19.0614,-49.7979,16.4238,-33.7228,-1.15037,-71.8623
93,0,8.84308,-57.6192,8.94565,182.779,976.739,-296.719,18.3888,-49.078,16.8996,-45.7972,8.36849,-69.4454
94,0,9.01475,-58.1033,9.1158,182.209,976.93,-297.39,17.1667,-48.4076,17.0151,-57.0372,19.0616,-67.082
95,0,9.17034,-58.5839,9.28484,181.539,977.237,-298.036,15.5593,-48.0545,16.904,-66.9941,30.7322,-64.5429
96,0,9.30631,-59.0627,9.45094,180.77,977.664,-298.645,13.5973,-47.8824,16.6104,-76.8691,42.7187,-60.907
97,0,9.41957,-59.5415,9.61282,179.918,978.21,-299.222,11.3259,-47.8796,16.1875,-85.2674,54.6396,-57.7688
98,0,9.01754,-60.0994,9.31389,178.57,978.877,-299.605,-40.2032,-55.7924,-29.8931,-134.784,66.6261,-38.2394
99,0,9.08686,-60.5829,9.48331,177.547,979.688,-300.117,6.93213,-48.3448,16.9418,-102.27,81.1458,-51.1855
100,0,9.01692,-61.0752,9.54387,176.359,980.458,-300.504,-6.9942,-49.2382,6.05641,-118.864,76.9615,-38.7579
101,0,9.04374,-61.5742,9.71072,175.283,981.444,-300.929,2.68204,-49.8966,16.685,-107.558,98.6278,-42.4623
102,0,8.82442,-62.0758,9.67447,174.087,982.391,-301.166,-21.9317,-50.1561,-3.6247,-119.644,94.7356,-23.7137
103,0,8.92354,-62.5523,9.93933,172.976,983.425,-301.505,9.91189,-47.657,26.4855,-111.069,103.384,-33.927
104,0,8.93766,-63.0264,10.1513,171.782,984.388,-301.726,1.41231,-47.4056,21.1927,-119.381,96.2734,-22.0329
105,0,9.07983,-63.4771,10.4823,170.736,985.403,-301.939,14.2171,-45.0704,33.1078,-104.649,101.531,-21.2938
106,0,9.08057,-63.9109,10.7014,169.706,986.334,-301.994,0.0738514,-43.384,21.9066,-102.966,93.1144,-5.55217
