Joints,,,,,,,,,,,,,
100,,,,,,,,,,,,,
,,Subject1:World_Root,,,,,,Subject1:LowerBack,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm,deg,deg,deg,mm,mm,mm
50,0,1.0143,-17.0594,-0.768909,49.5311,1004.62,200.064,23.2158,113.728,115.03,-51.7533,203.811,1177.75
51,0,1.22705,-16.5283,-0.550442,48.1477,1011.47,200.37,23.1633,113.634,115.287,-49.7432,204.551,1184.59
52,0,1.44565,-15.9805,-0.344365,46.689,1018.47,200.557,23.0733,113.596,115.555,-47.6901,205.213,1191.59
53,0,1.67035,-15.4191,-0.143705,45.1593,1025.37,200.622,22.9279,113.633,115.829,-45.5785,205.786,1198.48
54,0,1.8913,-14.7293,0.0616233,43.752,1032.17,200.689,22.6662,113.783,116.201,-43.5722,206.357,1205.26
55,0,2.09639,-13.9992,0.251039,42.3082,1038.58,200.719,22.3142,114.003,116.614,-41.5724,206.871,1211.66
56,0,2.27686,-13.168,0.438328,40.9019,1044.4,200.718,21.8234,114.308,117.116,-39.6123,207.297,1217.45
57,0,2.43534,-12.3331,0.614466,39.4378,1049.51,200.708,21.2457,114.68,117.647,-37.6238,207.67,1222.54
58,0,2.58743,-11.4276,0.795403,38.0027,1053.83,200.672,20.5423,115.151,118.236,-35.6467,208.013,1226.84
59,0,2.72043,-10.5139,0.983918,36.602,1057.13,200.593,19.7624,115.675,118.868,-33.6785,208.269,1230.12
60,0,2.86813,-9.5703,1.18441,35.2592,1059.48,200.374,18.8758,116.309,119.506,-31.7296,208.443,1232.44
61,0,2.99757,-8.55414,1.39466,34.0293,1060.78,200.062,17.838,116.995,120.228,-29.8615,208.489,1233.71
62,0,3.13081,-7.58155,1.63617,32.7896,1061.01,199.571,16.7556,117.698,120.946,-27.8884,208.374,1233.9
